Created as New Dataset;Amostra 409 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;63,41
3998,07;63,53
3996,14;63,65
3994,21;63,79
3992,28;63,93
3990,35;64,09
3988,42;64,26
3986,49;64,42
3984,56;64,59
3982,63;64,76
3980,70;64,93
3978,77;65,08
3976,84;65,21
3974,91;65,34
3972,98;65,45
3971,05;65,55
3969,12;65,64
3967,19;65,72
3965,26;65,79
3963,33;65,86
3961,40;65,92
3959,47;65,97
3957,54;66,03
3955,61;66,07
3953,68;66,12
3951,75;66,15
3949,82;66,19
3947,89;66,22
3945,96;66,25
3944,03;66,28
3942,10;66,30
3940,17;66,32
3938,24;66,33
3936,31;66,34
3934,38;66,35
3932,45;66,36
3930,52;66,37
3928,59;66,38
3926,66;66,39
3924,73;66,39
3922,80;66,41
3920,87;66,41
3918,94;66,43
3917,01;66,44
3915,08;66,44
3913,15;66,45
3911,22;66,46
3909,29;66,47
3907,36;66,48
3905,43;66,50
3903,50;66,53
3901,57;66,56
3899,64;66,58
3897,71;66,61
3895,78;66,63
3893,85;66,65
3891,92;66,67
3889,99;66,70
3888,06;66,72
3886,13;66,73
3884,20;66,77
3882,27;66,79
3880,34;66,82
3878,41;66,85
3876,48;66,86
3874,55;66,90
3872,62;66,94
3870,69;66,96
3868,76;67,01
3866,83;67,05
3864,90;67,09
3862,97;67,13
3861,04;67,16
3859,11;67,19
3857,18;67,21
3855,25;67,21
3853,32;67,25
3851,39;67,27
3849,46;67,29
3847,53;67,32
3845,60;67,34
3843,67;67,35
3841,74;67,36
3839,81;67,38
3837,88;67,40
3835,95;67,43
3834,02;67,46
3832,09;67,48
3830,16;67,50
3828,23;67,51
3826,30;67,52
3824,37;67,55
3822,44;67,56
3820,51;67,61
3818,58;67,66
3816,65;67,71
3814,72;67,79
3812,79;67,84
3810,86;67,91
3808,93;67,98
3807,00;68,04
3805,07;68,12
3803,14;68,17
3801,21;68,25
3799,28;68,32
3797,35;68,37
3795,42;68,43
3793,49;68,47
3791,56;68,50
3789,63;68,53
3787,70;68,58
3785,77;68,63
3783,84;68,69
3781,91;68,75
3779,98;68,83
3778,05;68,91
3776,12;68,98
3774,19;69,05
3772,26;69,12
3770,33;69,18
3768,40;69,24
3766,47;69,29
3764,54;69,34
3762,61;69,39
3760,68;69,44
3758,75;69,49
3756,82;69,54
3754,89;69,59
3752,96;69,65
3751,03;69,71
3749,10;69,77
3747,17;69,82
3745,24;69,85
3743,31;69,89
3741,38;69,91
3739,45;69,95
3737,52;69,99
3735,59;70,02
3733,66;70,06
3731,73;70,09
3729,80;70,11
3727,87;70,13
3725,94;70,16
3724,01;70,20
3722,08;70,24
3720,15;70,28
3718,22;70,32
3716,29;70,35
3714,36;70,37
3712,43;70,39
3710,50;70,42
3708,57;70,42
3706,64;70,43
3704,71;70,44
3702,78;70,44
3700,85;70,43
3698,92;70,42
3696,99;70,42
3695,06;70,42
3693,13;70,42
3691,20;70,42
3689,27;70,42
3687,34;70,43
3685,41;70,43
3683,48;70,43
3681,55;70,43
3679,62;70,41
3677,69;70,40
3675,76;70,38
3673,83;70,37
3671,90;70,34
3669,97;70,29
3668,04;70,22
3666,11;70,12
3664,18;70,03
3662,25;69,92
3660,32;69,79
3658,39;69,66
3656,46;69,50
3654,53;69,35
3652,60;69,19
3650,67;69,03
3648,74;68,90
3646,81;68,77
3644,88;68,68
3642,95;68,61
3641,02;68,55
3639,09;68,48
3637,16;68,39
3635,23;68,30
3633,30;68,20
3631,37;68,09
3629,44;67,96
3627,51;67,83
3625,58;67,70
3623,65;67,58
3621,72;67,47
3619,79;67,34
3617,86;67,22
3615,93;67,11
3614,00;67,00
3612,07;66,91
3610,14;66,81
3608,21;66,73
3606,28;66,68
3604,35;66,66
3602,42;66,69
3600,49;66,75
3598,56;66,82
3596,63;66,90
3594,70;66,96
3592,77;67,00
3590,84;67,01
3588,91;66,98
3586,98;66,92
3585,05;66,84
3583,12;66,76
3581,19;66,67
3579,26;66,56
3577,33;66,45
3575,40;66,33
3573,47;66,21
3571,54;66,09
3569,61;65,98
3567,68;65,86
3565,75;65,75
3563,82;65,63
3561,89;65,50
3559,96;65,37
3558,03;65,24
3556,10;65,10
3554,17;64,97
3552,24;64,83
3550,31;64,69
3548,38;64,54
3546,45;64,38
3544,52;64,23
3542,59;64,08
3540,66;63,94
3538,73;63,78
3536,80;63,62
3534,87;63,47
3532,94;63,32
3531,01;63,18
3529,08;63,02
3527,15;62,86
3525,22;62,70
3523,29;62,54
3521,36;62,39
3519,43;62,24
3517,50;62,09
3515,57;61,93
3513,64;61,77
3511,71;61,62
3509,78;61,48
3507,85;61,33
3505,92;61,19
3503,99;61,03
3502,06;60,88
3500,13;60,74
3498,20;60,60
3496,27;60,46
3494,34;60,32
3492,41;60,17
3490,48;60,03
3488,55;59,89
3486,62;59,76
3484,69;59,62
3482,76;59,49
3480,83;59,36
3478,90;59,24
3476,97;59,12
3475,04;59,00
3473,11;58,89
3471,18;58,77
3469,25;58,66
3467,32;58,56
3465,39;58,48
3463,46;58,39
3461,53;58,30
3459,60;58,22
3457,67;58,15
3455,74;58,07
3453,81;58,00
3451,88;57,93
3449,95;57,86
3448,02;57,80
3446,09;57,73
3444,16;57,67
3442,23;57,61
3440,30;57,56
3438,37;57,51
3436,44;57,47
3434,51;57,44
3432,58;57,43
3430,65;57,42
3428,72;57,41
3426,79;57,41
3424,86;57,40
3422,93;57,39
3421,00;57,38
3419,07;57,37
3417,14;57,35
3415,21;57,33
3413,28;57,32
3411,35;57,30
3409,42;57,28
3407,49;57,26
3405,56;57,25
3403,63;57,23
3401,70;57,21
3399,77;57,20
3397,84;57,19
3395,91;57,18
3393,98;57,17
3392,05;57,15
3390,12;57,14
3388,19;57,14
3386,26;57,14
3384,33;57,14
3382,40;57,14
3380,47;57,14
3378,54;57,15
3376,61;57,16
3374,68;57,17
3372,75;57,19
3370,82;57,20
3368,89;57,22
3366,96;57,25
3365,03;57,29
3363,10;57,32
3361,17;57,36
3359,24;57,39
3357,31;57,43
3355,38;57,47
3353,45;57,52
3351,52;57,55
3349,59;57,60
3347,66;57,65
3345,73;57,70
3343,80;57,76
3341,87;57,81
3339,94;57,87
3338,01;57,93
3336,08;58,01
3334,15;58,08
3332,22;58,16
3330,29;58,24
3328,36;58,32
3326,43;58,39
3324,50;58,48
3322,57;58,56
3320,64;58,64
3318,71;58,72
3316,78;58,79
3314,85;58,87
3312,92;58,94
3310,99;59,00
3309,06;59,06
3307,13;59,11
3305,20;59,17
3303,27;59,24
3301,34;59,30
3299,41;59,35
3297,48;59,40
3295,55;59,44
3293,62;59,48
3291,69;59,52
3289,76;59,57
3287,83;59,61
3285,90;59,64
3283,97;59,67
3282,04;59,70
3280,11;59,73
3278,18;59,75
3276,25;59,77
3274,32;59,78
3272,39;59,79
3270,46;59,80
3268,53;59,82
3266,60;59,83
3264,67;59,83
3262,74;59,82
3260,81;59,82
3258,88;59,81
3256,95;59,79
3255,02;59,77
3253,09;59,75
3251,16;59,72
3249,23;59,68
3247,30;59,63
3245,37;59,58
3243,44;59,52
3241,51;59,46
3239,58;59,38
3237,65;59,29
3235,72;59,19
3233,79;59,07
3231,86;58,95
3229,93;58,83
3228,00;58,68
3226,07;58,52
3224,14;58,34
3222,21;58,16
3220,28;57,95
