Created as New Dataset;Amostra 410 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;59,64
3998,07;59,77
3996,14;59,90
3994,21;60,05
3992,28;60,22
3990,35;60,40
3988,42;60,58
3986,49;60,77
3984,56;60,96
3982,63;61,15
3980,70;61,34
3978,77;61,51
3976,84;61,66
3974,91;61,80
3972,98;61,93
3971,05;62,04
3969,12;62,14
3967,19;62,23
3965,26;62,31
3963,33;62,39
3961,40;62,46
3959,47;62,52
3957,54;62,58
3955,61;62,63
3953,68;62,68
3951,75;62,72
3949,82;62,77
3947,89;62,81
3945,96;62,84
3944,03;62,88
3942,10;62,90
3940,17;62,91
3938,24;62,93
3936,31;62,93
3934,38;62,95
3932,45;62,96
3930,52;62,98
3928,59;62,99
3926,66;63,00
3924,73;63,00
3922,80;63,01
3920,87;63,03
3918,94;63,04
3917,01;63,05
3915,08;63,06
3913,15;63,06
3911,22;63,06
3909,29;63,07
3907,36;63,08
3905,43;63,12
3903,50;63,17
3901,57;63,22
3899,64;63,26
3897,71;63,27
3895,78;63,29
3893,85;63,30
3891,92;63,31
3889,99;63,33
3888,06;63,38
3886,13;63,41
3884,20;63,43
3882,27;63,47
3880,34;63,50
3878,41;63,51
3876,48;63,54
3874,55;63,57
3872,62;63,61
3870,69;63,68
3868,76;63,72
3866,83;63,78
3864,90;63,83
3862,97;63,85
3861,04;63,88
3859,11;63,89
3857,18;63,91
3855,25;63,95
3853,32;64,03
3851,39;64,09
3849,46;64,11
3847,53;64,09
3845,60;64,07
3843,67;64,07
3841,74;64,08
3839,81;64,13
3837,88;64,17
3835,95;64,21
3834,02;64,25
3832,09;64,27
3830,16;64,26
3828,23;64,26
3826,30;64,26
3824,37;64,28
3822,44;64,33
3820,51;64,38
3818,58;64,46
3816,65;64,55
3814,72;64,60
3812,79;64,67
3810,86;64,72
3808,93;64,78
3807,00;64,86
3805,07;64,94
3803,14;65,05
3801,21;65,13
3799,28;65,21
3797,35;65,28
3795,42;65,31
3793,49;65,34
3791,56;65,37
3789,63;65,40
3787,70;65,45
3785,77;65,50
3783,84;65,57
3781,91;65,65
3779,98;65,74
3778,05;65,83
3776,12;65,92
3774,19;65,99
3772,26;66,07
3770,33;66,14
3768,40;66,21
3766,47;66,29
3764,54;66,34
3762,61;66,39
3760,68;66,45
3758,75;66,50
3756,82;66,56
3754,89;66,63
3752,96;66,71
3751,03;66,80
3749,10;66,89
3747,17;66,97
3745,24;67,04
3743,31;67,05
3741,38;67,08
3739,45;67,10
3737,52;67,13
3735,59;67,16
3733,66;67,20
3731,73;67,24
3729,80;67,26
3727,87;67,28
3725,94;67,29
3724,01;67,33
3722,08;67,38
3720,15;67,42
3718,22;67,45
3716,29;67,48
3714,36;67,52
3712,43;67,55
3710,50;67,58
3708,57;67,61
3706,64;67,60
3704,71;67,60
3702,78;67,58
3700,85;67,57
3698,92;67,56
3696,99;67,56
3695,06;67,54
3693,13;67,55
3691,20;67,56
3689,27;67,58
3687,34;67,60
3685,41;67,62
3683,48;67,60
3681,55;67,56
3679,62;67,54
3677,69;67,54
3675,76;67,54
3673,83;67,53
3671,90;67,55
3669,97;67,47
3668,04;67,37
3666,11;67,25
3664,18;67,11
3662,25;66,96
3660,32;66,80
3658,39;66,64
3656,46;66,45
3654,53;66,24
3652,60;66,07
3650,67;65,90
3648,74;65,76
3646,81;65,65
3644,88;65,54
3642,95;65,46
3641,02;65,38
3639,09;65,30
3637,16;65,21
3635,23;65,12
3633,30;65,01
3631,37;64,91
3629,44;64,79
3627,51;64,64
3625,58;64,51
3623,65;64,36
3621,72;64,22
3619,79;64,07
3617,86;63,94
3615,93;63,83
3614,00;63,72
3612,07;63,61
3610,14;63,51
3608,21;63,42
3606,28;63,36
3604,35;63,33
3602,42;63,35
3600,49;63,42
3598,56;63,51
3596,63;63,61
3594,70;63,69
3592,77;63,73
3590,84;63,74
3588,91;63,73
3586,98;63,66
3585,05;63,59
3583,12;63,49
3581,19;63,38
3579,26;63,25
3577,33;63,12
3575,40;62,99
3573,47;62,85
3571,54;62,73
3569,61;62,62
3567,68;62,51
3565,75;62,38
3563,82;62,25
3561,89;62,10
3559,96;61,95
3558,03;61,80
3556,10;61,65
3554,17;61,50
3552,24;61,34
3550,31;61,19
3548,38;61,04
3546,45;60,87
3544,52;60,70
3542,59;60,54
3540,66;60,37
3538,73;60,20
3536,80;60,02
3534,87;59,85
3532,94;59,69
3531,01;59,53
3529,08;59,37
3527,15;59,20
3525,22;59,03
