Created as New Dataset;Amostra 417 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;70,92
3998,07;70,97
3996,14;71,03
3994,21;71,10
3992,28;71,17
3990,35;71,25
3988,42;71,33
3986,49;71,42
3984,56;71,51
3982,63;71,61
3980,70;71,72
3978,77;71,84
3976,84;71,96
3974,91;72,10
3972,98;72,25
3971,05;72,41
3969,12;72,58
3967,19;72,74
3965,26;72,90
3963,33;73,04
3961,40;73,17
3959,47;73,26
3957,54;73,33
3955,61;73,39
3953,68;73,43
3951,75;73,47
3949,82;73,51
3947,89;73,56
3945,96;73,61
3944,03;73,66
3942,10;73,72
3940,17;73,77
3938,24;73,83
3936,31;73,89
3934,38;73,94
3932,45;74,01
3930,52;74,07
3928,59;74,13
3926,66;74,18
3924,73;74,24
3922,80;74,29
3920,87;74,33
3918,94;74,36
3917,01;74,38
3915,08;74,39
3913,15;74,38
3911,22;74,37
3909,29;74,34
3907,36;74,30
3905,43;74,25
3903,50;74,19
3901,57;74,09
3899,64;73,97
3897,71;73,82
3895,78;73,67
3893,85;73,51
3891,92;73,33
3889,99;73,14
3888,06;72,97
3886,13;72,83
3884,20;72,72
3882,27;72,66
3880,34;72,68
3878,41;72,77
3876,48;72,93
3874,55;73,20
3872,62;73,50
3870,69;73,85
3868,76;74,22
3866,83;74,53
3864,90;74,82
3862,97;75,06
3861,04;75,24
3859,11;75,38
3857,18;75,49
3855,25;75,57
3853,32;75,64
3851,39;75,67
3849,46;75,71
3847,53;75,74
3845,60;75,76
3843,67;75,78
3841,74;75,82
3839,81;75,87
3837,88;75,92
3835,95;75,97
3834,02;76,03
3832,09;76,07
3830,16;76,09
3828,23;76,09
3826,30;76,09
3824,37;76,08
3822,44;76,05
3820,51;76,01
3818,58;75,94
3816,65;75,85
3814,72;75,77
3812,79;75,70
3810,86;75,67
3808,93;75,66
3807,00;75,69
3805,07;75,73
3803,14;75,77
3801,21;75,84
3799,28;75,89
3797,35;75,96
3795,42;76,06
3793,49;76,19
3791,56;76,37
3789,63;76,60
3787,70;76,86
3785,77;77,13
3783,84;77,40
3781,91;77,65
3779,98;77,88
3778,05;78,07
3776,12;78,24
3774,19;78,38
3772,26;78,51
3770,33;78,63
3768,40;78,74
3766,47;78,84
3764,54;78,95
3762,61;79,05
3760,68;79,15
3758,75;79,26
3756,82;79,36
3754,89;79,47
3752,96;79,58
3751,03;79,69
3749,10;79,81
3747,17;79,90
3745,24;79,97
3743,31;80,03
3741,38;80,06
3739,45;80,11
3737,52;80,15
3735,59;80,21
3733,66;80,26
3731,73;80,27
3729,80;80,26
3727,87;80,24
3725,94;80,25
3724,01;80,25
3722,08;80,25
3720,15;80,26
3718,22;80,25
3716,29;80,22
3714,36;80,19
3712,43;80,17
3710,50;80,12
3708,57;80,07
3706,64;80,01
3704,71;79,93
3702,78;79,79
3700,85;79,60
3698,92;79,39
3696,99;79,21
3695,06;79,07
3693,13;79,00
3691,20;79,02
3689,27;79,10
3687,34;79,19
3685,41;79,27
3683,48;79,33
3681,55;79,36
3679,62;79,38
3677,69;79,37
3675,76;79,36
3673,83;79,35
3671,90;79,30
3669,97;79,24
3668,04;79,14
3666,11;79,03
3664,18;78,93
3662,25;78,84
3660,32;78,74
3658,39;78,63
3656,46;78,52
3654,53;78,43
3652,60;78,36
3650,67;78,27
3648,74;78,18
3646,81;78,11
3644,88;78,08
3642,95;78,07
3641,02;78,07
3639,09;78,08
3637,16;78,10
3635,23;78,14
3633,30;78,20
3631,37;78,24
3629,44;78,28
3627,51;78,34
3625,58;78,40
3623,65;78,45
3621,72;78,50
3619,79;78,52
3617,86;78,51
3615,93;78,48
3614,00;78,46
3612,07;78,42
3610,14;78,38
3608,21;78,32
3606,28;78,26
3604,35;78,17
3602,42;78,04
3600,49;77,89
3598,56;77,69
3596,63;77,45
3594,70;77,17
3592,77;76,85
3590,84;76,51
3588,91;76,11
3586,98;75,64
3585,05;75,15
3583,12;74,63
3581,19;74,07
3579,26;73,48
3577,33;72,87
3575,40;72,25
3573,47;71,65
3571,54;71,08
3569,61;70,52
3567,68;69,96
3565,75;69,42
3563,82;68,96
3561,89;68,55
3559,96;68,17
3558,03;67,83
3556,10;67,55
3554,17;67,32
3552,24;67,14
3550,31;66,99
3548,38;66,87
3546,45;66,80
3544,52;66,74
3542,59;66,67
3540,66;66,62
3538,73;66,59
3536,80;66,57
3534,87;66,56
3532,94;66,55
3531,01;66,56
3529,08;66,57
3527,15;66,60
3525,22;66,65
3523,29;66,69
3521,36;66,73
3519,43;66,77
3517,50;66,82
3515,57;66,87
3513,64;66,91
3511,71;66,93
3509,78;66,93
3507,85;66,91
3505,92;66,85
3503,99;66,74
3502,06;66,56
3500,13;66,29
3498,20;65,93
3496,27;65,46
3494,34;64,85
3492,41;64,11
3490,48;63,24
3488,55;62,23
3486,62;61,08
3484,69;59,84
3482,76;58,52
3480,83;57,16
3478,90;55,82
3476,97;54,55
3475,04;53,39
3473,11;52,40
3471,18;51,64
3469,25;51,13
3467,32;50,89
3465,39;50,93
3463,46;51,27
3461,53;51,89
3459,60;52,76
3457,67;53,85
3455,74;55,09
3453,81;56,48
3451,88;57,94
3449,95;59,44
3448,02;60,93
3446,09;62,39
3444,16;63,76
3442,23;65,03
3440,30;66,20
3438,37;67,26
3436,44;68,18
3434,51;68,97
3432,58;69,65
3430,65;70,22
3428,72;70,70
3426,79;71,09
3424,86;71,40
3422,93;71,67
3421,00;71,88
3419,07;72,03
3417,14;72,14
3415,21;72,21
3413,28;72,25
3411,35;72,22
3409,42;72,14
3407,49;71,99
3405,56;71,78
3403,63;71,54
3401,70;71,26
3399,77;70,94
3397,84;70,63
3395,91;70,37
3393,98;70,17
3392,05;70,03
3390,12;69,93
3388,19;69,89
3386,26;69,88
3384,33;69,91
