Created as New Dataset;Amostra 403 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;9,82
3998,07;9,84
3996,14;9,85
3994,21;9,87
3992,28;9,88
3990,35;9,91
3988,42;9,93
3986,49;9,95
3984,56;9,97
3982,63;10,00
3980,70;10,02
3978,77;10,04
3976,84;10,06
3974,91;10,07
3972,98;10,08
3971,05;10,10
3969,12;10,11
3967,19;10,12
3965,26;10,13
3963,33;10,13
3961,40;10,14
3959,47;10,15
3957,54;10,15
3955,61;10,16
3953,68;10,16
3951,75;10,17
3949,82;10,17
3947,89;10,18
3945,96;10,18
3944,03;10,19
3942,10;10,19
3940,17;10,19
3938,24;10,19
3936,31;10,19
3934,38;10,19
3932,45;10,19
3930,52;10,20
3928,59;10,20
3926,66;10,20
3924,73;10,20
3922,80;10,20
3920,87;10,20
3918,94;10,20
3917,01;10,20
3915,08;10,20
3913,15;10,20
3911,22;10,20
3909,29;10,20
3907,36;10,19
3905,43;10,20
3903,50;10,20
3901,57;10,21
3899,64;10,21
3897,71;10,21
3895,78;10,21
3893,85;10,20
3891,92;10,20
3889,99;10,20
3888,06;10,20
3886,13;10,20
3884,20;10,20
3882,27;10,20
3880,34;10,20
3878,41;10,19
3876,48;10,19
3874,55;10,19
3872,62;10,18
3870,69;10,19
3868,76;10,18
3866,83;10,18
3864,90;10,18
3862,97;10,17
3861,04;10,17
3859,11;10,16
3857,18;10,14
3855,25;10,12
3853,32;10,12
3851,39;10,13
3849,46;10,12
3847,53;10,11
3845,60;10,10
3843,67;10,09
3841,74;10,08
3839,81;10,07
3837,88;10,06
3835,95;10,05
3834,02;10,04
3832,09;10,03
3830,16;10,01
3828,23;10,00
3826,30;9,98
3824,37;9,96
3822,44;9,95
3820,51;9,94
3818,58;9,93
3816,65;9,92
3814,72;9,90
3812,79;9,89
3810,86;9,87
3808,93;9,86
3807,00;9,85
3805,07;9,83
3803,14;9,82
3801,21;9,81
3799,28;9,79
3797,35;9,77
3795,42;9,75
3793,49;9,73
3791,56;9,71
3789,63;9,68
3787,70;9,66
3785,77;9,64
3783,84;9,62
3781,91;9,60
3779,98;9,57
3778,05;9,55
3776,12;9,53
3774,19;9,50
3772,26;9,48
3770,33;9,45
3768,40;9,42
3766,47;9,39
3764,54;9,36
3762,61;9,33
3760,68;9,30
3758,75;9,26
3756,82;9,23
3754,89;9,19
3752,96;9,16
3751,03;9,12
3749,10;9,08
3747,17;9,04
3745,24;9,00
3743,31;8,95
3741,38;8,90
3739,45;8,85
3737,52;8,80
3735,59;8,74
3733,66;8,68
3731,73;8,62
3729,80;8,55
3727,87;8,48
3725,94;8,41
3724,01;8,33
3722,08;8,25
3720,15;8,17
3718,22;8,08
3716,29;7,99
3714,36;7,89
3712,43;7,79
3710,50;7,68
3708,57;7,56
3706,64;7,43
3704,71;7,30
3702,78;7,17
3700,85;7,02
3698,92;6,87
3696,99;6,71
3695,06;6,54
3693,13;6,38
3691,20;6,20
3689,27;6,01
3687,34;5,81
3685,41;5,62
3683,48;5,43
3681,55;5,23
3679,62;5,04
3677,69;4,84
3675,76;4,62
3673,83;4,42
3671,90;4,22
3669,97;4,00
3668,04;3,80
3666,11;3,61
3664,18;3,42
3662,25;3,24
3660,32;3,07
3658,39;2,91
3656,46;2,75
3654,53;2,61
3652,60;2,47
3650,67;2,33
3648,74;2,21
3646,81;2,09
3644,88;1,98
3642,95;1,88
3641,02;1,78
3639,09;1,69
3637,16;1,61
3635,23;1,53
3633,30;1,46
3631,37;1,40
3629,44;1,34
3627,51;1,29
3625,58;1,23
3623,65;1,17
3621,72;1,11
3619,79;1,07
3617,86;1,03
3615,93;0,99
3614,00;0,95
3612,07;0,91
3610,14;0,88
3608,21;0,84
3606,28;0,81
3604,35;0,78
3602,42;0,75
3600,49;0,72
3598,56;0,70
3596,63;0,68
3594,70;0,66
3592,77;0,63
3590,84;0,61
3588,91;0,59
3586,98;0,57
3585,05;0,55
3583,12;0,54
3581,19;0,52
3579,26;0,51
3577,33;0,50
3575,40;0,48
3573,47;0,47
3571,54;0,45
3569,61;0,44
3567,68;0,43
3565,75;0,43
3563,82;0,42
3561,89;0,40
3559,96;0,39
3558,03;0,38
3556,10;0,38
3554,17;0,37
3552,24;0,36
3550,31;0,36
3548,38;0,35
3546,45;0,34
3544,52;0,33
3542,59;0,33
3540,66;0,33
3538,73;0,32
3536,80;0,32
3534,87;0,31
3532,94;0,31
3531,01;0,31
3529,08;0,31
3527,15;0,30
3525,22;0,29
3523,29;0,29
3521,36;0,29
3519,43;0,29
3517,50;0,28
3515,57;0,28
3513,64;0,27
3511,71;0,27
3509,78;0,27
3507,85;0,27
3505,92;0,26
3503,99;0,26
3502,06;0,25
3500,13;0,25
3498,20;0,25
3496,27;0,25
3494,34;0,25
3492,41;0,25
3490,48;0,25
3488,55;0,25
3486,62;0,24
3484,69;0,24
3482,76;0,24
3480,83;0,24
3478,90;0,24
3476,97;0,24
3475,04;0,24
3473,11;0,24
3471,18;0,23
3469,25;0,23
3467,32;0,23
3465,39;0,23
3463,46;0,23
3461,53;0,23
3459,60;0,23
3457,67;0,23
3455,74;0,23
3453,81;0,23
3451,88;0,23
3449,95;0,23
3448,02;0,23
3446,09;0,23
3444,16;0,23
3442,23;0,23
3440,30;0,23
3438,37;0,23
3436,44;0,22
3434,51;0,22
3432,58;0,22
3430,65;0,22
3428,72;0,22
3426,79;0,23
3424,86;0,23
3422,93;0,22
3421,00;0,22
3419,07;0,23
3417,14;0,22
3415,21;0,22
3413,28;0,22
3411,35;0,22
3409,42;0,22
3407,49;0,22
3405,56;0,22
3403,63;0,22
3401,70;0,22
