Created as New Dataset;Amostra 404 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;12,13
3998,07;12,15
3996,14;12,17
3994,21;12,19
3992,28;12,22
3990,35;12,25
3988,42;12,28
3986,49;12,31
3984,56;12,34
3982,63;12,37
3980,70;12,40
3978,77;12,43
3976,84;12,46
3974,91;12,48
3972,98;12,50
3971,05;12,51
3969,12;12,53
3967,19;12,55
3965,26;12,56
3963,33;12,58
3961,40;12,59
3959,47;12,60
3957,54;12,61
3955,61;12,62
3953,68;12,62
3951,75;12,63
3949,82;12,65
3947,89;12,65
3945,96;12,66
3944,03;12,67
3942,10;12,67
3940,17;12,68
3938,24;12,68
3936,31;12,68
3934,38;12,69
3932,45;12,70
3930,52;12,70
3928,59;12,70
3926,66;12,71
3924,73;12,71
3922,80;12,71
3920,87;12,72
3918,94;12,72
3917,01;12,73
3915,08;12,73
3913,15;12,73
3911,22;12,73
3909,29;12,73
3907,36;12,73
3905,43;12,74
3903,50;12,75
3901,57;12,77
3899,64;12,78
3897,71;12,78
3895,78;12,77
3893,85;12,77
3891,92;12,76
3889,99;12,76
3888,06;12,77
3886,13;12,78
3884,20;12,78
3882,27;12,78
3880,34;12,78
3878,41;12,78
3876,48;12,78
3874,55;12,78
3872,62;12,77
3870,69;12,79
3868,76;12,79
3866,83;12,79
3864,90;12,79
3862,97;12,79
3861,04;12,78
3859,11;12,77
3857,18;12,75
3855,25;12,73
3853,32;12,75
3851,39;12,77
3849,46;12,76
3847,53;12,74
3845,60;12,72
3843,67;12,70
3841,74;12,69
3839,81;12,69
3837,88;12,69
3835,95;12,68
3834,02;12,67
3832,09;12,65
3830,16;12,64
3828,23;12,62
3826,30;12,60
3824,37;12,58
3822,44;12,57
3820,51;12,56
3818,58;12,56
3816,65;12,56
3814,72;12,54
3812,79;12,52
3810,86;12,49
3808,93;12,47
3807,00;12,46
3805,07;12,45
3803,14;12,45
3801,21;12,44
3799,28;12,42
3797,35;12,41
3795,42;12,38
3793,49;12,35
3791,56;12,32
3789,63;12,29
3787,70;12,26
3785,77;12,24
3783,84;12,21
3781,91;12,19
3779,98;12,16
3778,05;12,14
3776,12;12,12
3774,19;12,09
3772,26;12,05
3770,33;12,03
3768,40;12,00
3766,47;11,97
3764,54;11,93
3762,61;11,89
3760,68;11,85
3758,75;11,81
3756,82;11,77
3754,89;11,73
3752,96;11,70
3751,03;11,66
3749,10;11,62
3747,17;11,57
3745,24;11,52
3743,31;11,46
3741,38;11,40
3739,45;11,33
3737,52;11,27
3735,59;11,19
3733,66;11,12
3731,73;11,04
3729,80;10,95
3727,87;10,86
3725,94;10,76
3724,01;10,67
3722,08;10,56
3720,15;10,45
3718,22;10,34
3716,29;10,22
3714,36;10,10
3712,43;9,97
3710,50;9,82
3708,57;9,66
3706,64;9,50
3704,71;9,33
3702,78;9,14
3700,85;8,94
3698,92;8,73
3696,99;8,53
3695,06;8,31
3693,13;8,08
3691,20;7,84
3689,27;7,59
3687,34;7,32
3685,41;7,07
3683,48;6,80
3681,55;6,54
3679,62;6,27
3677,69;6,01
3675,76;5,72
3673,83;5,43
3671,90;5,17
3669,97;4,89
3668,04;4,60
3666,11;4,34
3664,18;4,09
3662,25;3,85
