Created as New Dataset;Amostra 408 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;2,87
3998,07;2,87
3996,14;2,87
3994,21;2,87
3992,28;2,87
3990,35;2,88
3988,42;2,88
3986,49;2,88
3984,56;2,88
3982,63;2,88
3980,70;2,88
3978,77;2,88
3976,84;2,88
3974,91;2,88
3972,98;2,88
3971,05;2,88
3969,12;2,88
3967,19;2,88
3965,26;2,88
3963,33;2,87
3961,40;2,87
3959,47;2,87
3957,54;2,87
3955,61;2,86
3953,68;2,86
3951,75;2,86
3949,82;2,85
3947,89;2,85
3945,96;2,85
3944,03;2,84
3942,10;2,84
3940,17;2,83
3938,24;2,83
3936,31;2,82
3934,38;2,82
3932,45;2,81
3930,52;2,81
3928,59;2,81
3926,66;2,80
3924,73;2,79
3922,80;2,79
3920,87;2,78
3918,94;2,78
3917,01;2,77
3915,08;2,76
3913,15;2,76
3911,22;2,75
3909,29;2,74
3907,36;2,74
3905,43;2,73
3903,50;2,73
3901,57;2,72
3899,64;2,71
3897,71;2,71
3895,78;2,70
3893,85;2,69
3891,92;2,68
3889,99;2,67
3888,06;2,67
3886,13;2,66
3884,20;2,65
3882,27;2,65
3880,34;2,64
3878,41;2,63
3876,48;2,62
3874,55;2,62
3872,62;2,60
3870,69;2,60
3868,76;2,59
3866,83;2,58
3864,90;2,58
3862,97;2,57
3861,04;2,56
3859,11;2,55
3857,18;2,53
3855,25;2,52
3853,32;2,51
3851,39;2,51
3849,46;2,50
3847,53;2,49
3845,60;2,47
3843,67;2,46
3841,74;2,45
3839,81;2,44
3837,88;2,43
3835,95;2,42
3834,02;2,41
3832,09;2,40
3830,16;2,38
3828,23;2,37
3826,30;2,36
3824,37;2,34
3822,44;2,33
3820,51;2,32
3818,58;2,30
3816,65;2,30
3814,72;2,28
3812,79;2,27
3810,86;2,26
3808,93;2,24
3807,00;2,23
3805,07;2,22
3803,14;2,21
3801,21;2,20
3799,28;2,18
3797,35;2,17
3795,42;2,15
3793,49;2,13
3791,56;2,12
3789,63;2,10
3787,70;2,09
3785,77;2,07
3783,84;2,06
3781,91;2,04
3779,98;2,02
3778,05;2,01
3776,12;2,00
3774,19;1,98
3772,26;1,96
3770,33;1,95
3768,40;1,93
3766,47;1,91
3764,54;1,90
3762,61;1,88
3760,68;1,86
3758,75;1,84
3756,82;1,83
3754,89;1,81
3752,96;1,79
3751,03;1,77
3749,10;1,76
3747,17;1,74
3745,24;1,71
3743,31;1,69
3741,38;1,67
3739,45;1,65
3737,52;1,62
3735,59;1,60
3733,66;1,58
3731,73;1,56
3729,80;1,53
3727,87;1,51
3725,94;1,48
3724,01;1,46
3722,08;1,43
3720,15;1,40
3718,22;1,38
3716,29;1,35
3714,36;1,33
3712,43;1,30
3710,50;1,27
3708,57;1,24
3706,64;1,21
3704,71;1,17
3702,78;1,14
3700,85;1,11
3698,92;1,07
3696,99;1,04
3695,06;1,00
3693,13;0,97
3691,20;0,94
3689,27;0,90
3687,34;0,87
3685,41;0,84
3683,48;0,81
3681,55;0,78
3679,62;0,75
3677,69;0,73
3675,76;0,70
3673,83;0,66
3671,90;0,64
3669,97;0,61
3668,04;0,58
3666,11;0,55
3664,18;0,53
3662,25;0,50
3660,32;0,48
3658,39;0,46
3656,46;0,45
3654,53;0,43
3652,60;0,41
3650,67;0,40
3648,74;0,39
