Created as New Dataset;Amostra 407 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;7,45
3998,07;7,46
3996,14;7,47
3994,21;7,48
3992,28;7,49
3990,35;7,50
3988,42;7,52
3986,49;7,54
3984,56;7,55
3982,63;7,57
3980,70;7,58
3978,77;7,60
3976,84;7,61
3974,91;7,62
3972,98;7,63
3971,05;7,64
3969,12;7,64
3967,19;7,65
3965,26;7,65
3963,33;7,66
3961,40;7,66
3959,47;7,66
3957,54;7,67
3955,61;7,67
3953,68;7,67
3951,75;7,67
3949,82;7,67
3947,89;7,67
3945,96;7,66
3944,03;7,66
3942,10;7,67
3940,17;7,67
3938,24;7,67
3936,31;7,67
3934,38;7,66
3932,45;7,66
3930,52;7,65
3928,59;7,65
3926,66;7,65
3924,73;7,65
3922,80;7,64
3920,87;7,64
3918,94;7,63
3917,01;7,63
3915,08;7,63
3913,15;7,63
3911,22;7,63
3909,29;7,63
3907,36;7,62
3905,43;7,61
3903,50;7,59
3901,57;7,58
3899,64;7,57
3897,71;7,58
3895,78;7,58
3893,85;7,58
3891,92;7,58
3889,99;7,58
3888,06;7,57
3886,13;7,56
3884,20;7,55
3882,27;7,55
3880,34;7,55
3878,41;7,55
3876,48;7,54
3874,55;7,54
3872,62;7,53
3870,69;7,51
3868,76;7,51
3866,83;7,50
3864,90;7,50
3862,97;7,50
3861,04;7,50
3859,11;7,49
3857,18;7,47
3855,25;7,44
3853,32;7,43
3851,39;7,41
3849,46;7,42
3847,53;7,43
3845,60;7,43
3843,67;7,42
3841,74;7,40
3839,81;7,38
3837,88;7,36
3835,95;7,35
3834,02;7,34
3832,09;7,34
3830,16;7,34
3828,23;7,33
3826,30;7,32
3824,37;7,30
3822,44;7,27
3820,51;7,26
3818,58;7,23
3816,65;7,22
3814,72;7,22
3812,79;7,22
3810,86;7,22
3808,93;7,20
3807,00;7,19
3805,07;7,17
3803,14;7,14
3801,21;7,13
3799,28;7,11
3797,35;7,10
3795,42;7,10
3793,49;7,09
3791,56;7,08
3789,63;7,07
3787,70;7,05
3785,77;7,03
3783,84;7,01
3781,91;6,98
3779,98;6,96
3778,05;6,94
3776,12;6,92
3774,19;6,90
3772,26;6,88
3770,33;6,85
3768,40;6,82
3766,47;6,79
3764,54;6,77
3762,61;6,74
3760,68;6,71
3758,75;6,68
3756,82;6,64
3754,89;6,60
3752,96;6,56
3751,03;6,52
3749,10;6,47
3747,17;6,43
3745,24;6,39
3743,31;6,35
3741,38;6,32
3739,45;6,29
3737,52;6,25
3735,59;6,20
3733,66;6,15
3731,73;6,11
3729,80;6,07
