Created as New Dataset;Amostra 409 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;10,54
3998,07;10,56
3996,14;10,58
3994,21;10,59
3992,28;10,61
3990,35;10,63
3988,42;10,66
3986,49;10,69
3984,56;10,71
3982,63;10,74
3980,70;10,76
3978,77;10,78
3976,84;10,80
3974,91;10,81
3972,98;10,83
3971,05;10,84
3969,12;10,85
3967,19;10,86
3965,26;10,87
3963,33;10,87
3961,40;10,88
3959,47;10,88
3957,54;10,89
3955,61;10,89
3953,68;10,90
3951,75;10,90
3949,82;10,90
3947,89;10,90
3945,96;10,90
3944,03;10,90
3942,10;10,91
3940,17;10,91
3938,24;10,91
3936,31;10,91
3934,38;10,90
3932,45;10,90
3930,52;10,89
3928,59;10,89
3926,66;10,89
3924,73;10,89
3922,80;10,89
3920,87;10,88
3918,94;10,88
3917,01;10,88
3915,08;10,88
3913,15;10,88
3911,22;10,88
3909,29;10,87
3907,36;10,86
3905,43;10,85
3903,50;10,84
3901,57;10,83
3899,64;10,83
3897,71;10,83
3895,78;10,84
3893,85;10,84
3891,92;10,84
3889,99;10,83
3888,06;10,82
3886,13;10,81
3884,20;10,81
3882,27;10,80
3880,34;10,80
3878,41;10,80
3876,48;10,79
3874,55;10,79
3872,62;10,78
3870,69;10,77
3868,76;10,76
3866,83;10,75
3864,90;10,75
3862,97;10,76
3861,04;10,75
3859,11;10,74
3857,18;10,72
3855,25;10,70
3853,32;10,68
3851,39;10,67
3849,46;10,67
3847,53;10,68
3845,60;10,68
3843,67;10,66
3841,74;10,64
3839,81;10,62
3837,88;10,60
3835,95;10,59
3834,02;10,58
3832,09;10,58
3830,16;10,57
3828,23;10,56
3826,30;10,54
3824,37;10,52
3822,44;10,49
3820,51;10,48
3818,58;10,46
3816,65;10,45
3814,72;10,45
3812,79;10,44
3810,86;10,44
3808,93;10,42
3807,00;10,41
3805,07;10,38
3803,14;10,36
3801,21;10,35
3799,28;10,33
3797,35;10,32
3795,42;10,31
3793,49;10,30
3791,56;10,28
3789,63;10,26
3787,70;10,24
3785,77;10,21
3783,84;10,19
3781,91;10,16
3779,98;10,14
3778,05;10,12
3776,12;10,10
3774,19;10,08
3772,26;10,05
3770,33;10,02
3768,40;9,99
3766,47;9,95
3764,54;9,92
3762,61;9,89
3760,68;9,86
3758,75;9,82
3756,82;9,78
3754,89;9,74
3752,96;9,69
3751,03;9,64
3749,10;9,59
3747,17;9,55
3745,24;9,50
3743,31;9,46
3741,38;9,41
3739,45;9,37
3737,52;9,31
3735,59;9,26
3733,66;9,20
3731,73;9,15
3729,80;9,10
3727,87;9,04
3725,94;8,97
3724,01;8,91
3722,08;8,84
3720,15;8,77
3718,22;8,69
3716,29;8,61
3714,36;8,52
3712,43;8,42
3710,50;8,30
3708,57;8,19
3706,64;8,08
3704,71;7,97
3702,78;7,85
3700,85;7,71
3698,92;7,57
3696,99;7,42
3695,06;7,27
3693,13;7,12
3691,20;6,95
3689,27;6,76
3687,34;6,57
3685,41;6,40
3683,48;6,24
3681,55;6,06
3679,62;5,88
3677,69;5,69
3675,76;5,47
3673,83;5,25
3671,90;5,06
3669,97;4,85
3668,04;4,65
3666,11;4,46
3664,18;4,28
3662,25;4,09
3660,32;3,91
3658,39;3,74
3656,46;3,57
3654,53;3,41
3652,60;3,26
3650,67;3,10
3648,74;2,94
3646,81;2,79
3644,88;2,66
3642,95;2,55
3641,02;2,44
3639,09;2,34
3637,16;2,24
3635,23;2,14
3633,30;2,06
3631,37;1,98
3629,44;1,89
3627,51;1,80
3625,58;1,72
3623,65;1,66
3621,72;1,59
3619,79;1,53
3617,86;1,46
3615,93;1,40
3614,00;1,35
3612,07;1,30
3610,14;1,25
3608,21;1,19
3606,28;1,14
3604,35;1,10
3602,42;1,06
3600,49;1,02
3598,56;0,98
3596,63;0,94
3594,70;0,91
3592,77;0,87
3590,84;0,84
3588,91;0,81
3586,98;0,76
3585,05;0,73
3583,12;0,70
3581,19;0,68
3579,26;0,65
3577,33;0,63
3575,40;0,60
3573,47;0,57
3571,54;0,55
3569,61;0,53
3567,68;0,51
3565,75;0,49
3563,82;0,46
3561,89;0,44
3559,96;0,42
3558,03;0,41
3556,10;0,39
3554,17;0,37
3552,24;0,36
3550,31;0,34
3548,38;0,32
3546,45;0,30
3544,52;0,29
3542,59;0,28
3540,66;0,28
3538,73;0,27
3536,80;0,26
3534,87;0,25
3532,94;0,24
3531,01;0,23
3529,08;0,22
3527,15;0,21
3525,22;0,20
3523,29;0,19
3521,36;0,19
3519,43;0,19
3517,50;0,18
3515,57;0,17
3513,64;0,16
3511,71;0,15
3509,78;0,15
3507,85;0,14
3505,92;0,14
3503,99;0,13
3502,06;0,12
3500,13;0,12
3498,20;0,11
3496,27;0,11
3494,34;0,11
3492,41;0,10
3490,48;0,10
3488,55;0,10
3486,62;0,09
3484,69;0,09
3482,76;0,09
3480,83;0,08
3478,90;0,08
3476,97;0,09
3475,04;0,09
3473,11;0,09
3471,18;0,08
3469,25;0,07
3467,32;0,07
3465,39;0,07
3463,46;0,07
3461,53;0,07
3459,60;0,07
3457,67;0,07
3455,74;0,07
3453,81;0,07
3451,88;0,07
3449,95;0,07
3448,02;0,07
3446,09;0,07
3444,16;0,07
3442,23;0,06
3440,30;0,06
3438,37;0,05
3436,44;0,05
3434,51;0,05
3432,58;0,05
3430,65;0,05
3428,72;0,06
3426,79;0,06
3424,86;0,06
3422,93;0,06
3421,00;0,06
3419,07;0,06
3417,14;0,05
3415,21;0,05
3413,28;0,05
3411,35;0,04
3409,42;0,04
3407,49;0,05
3405,56;0,05
3403,63;0,04
3401,70;0,04
3399,77;0,04
3397,84;0,05
3395,91;0,05
3393,98;0,05
3392,05;0,05
3390,12;0,05
3388,19;0,05
3386,26;0,05
3384,33;0,05
3382,40;0,05
3380,47;0,05
3378,54;0,05
3376,61;0,05
3374,68;0,05
3372,75;0,05
3370,82;0,05
3368,89;0,04
3366,96;0,05
3365,03;0,05
3363,10;0,06
3361,17;0,06
3359,24;0,06
3357,31;0,06
3355,38;0,06
3353,45;0,06
3351,52;0,06
3349,59;0,06
3347,66;0,06
3345,73;0,06
3343,80;0,06
3341,87;0,07
3339,94;0,07
