Created as New Dataset;Amostra 396 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;4,28
3998,07;4,29
3996,14;4,30
3994,21;4,31
3992,28;4,32
3990,35;4,33
3988,42;4,35
3986,49;4,36
3984,56;4,37
3982,63;4,38
3980,70;4,40
3978,77;4,41
3976,84;4,42
3974,91;4,43
3972,98;4,44
3971,05;4,44
3969,12;4,45
3967,19;4,46
3965,26;4,46
3963,33;4,47
3961,40;4,47
3959,47;4,48
3957,54;4,48
3955,61;4,49
3953,68;4,49
3951,75;4,50
3949,82;4,50
3947,89;4,50
3945,96;4,51
3944,03;4,51
3942,10;4,52
3940,17;4,52
3938,24;4,52
3936,31;4,52
3934,38;4,52
3932,45;4,52
3930,52;4,53
3928,59;4,53
3926,66;4,53
3924,73;4,53
3922,80;4,54
3920,87;4,54
3918,94;4,54
3917,01;4,54
3915,08;4,54
3913,15;4,54
3911,22;4,55
3909,29;4,55
3907,36;4,55
3905,43;4,55
3903,50;4,55
3901,57;4,55
3899,64;4,56
3897,71;4,56
3895,78;4,56
3893,85;4,56
3891,92;4,56
3889,99;4,57
3888,06;4,57
3886,13;4,57
3884,20;4,57
3882,27;4,57
3880,34;4,57
3878,41;4,58
3876,48;4,57
3874,55;4,57
3872,62;4,57
3870,69;4,58
3868,76;4,58
3866,83;4,58
3864,90;4,58
3862,97;4,58
3861,04;4,58
3859,11;4,58
3857,18;4,57
3855,25;4,57
3853,32;4,57
3851,39;4,57
3849,46;4,57
3847,53;4,57
3845,60;4,56
3843,67;4,56
3841,74;4,56
3839,81;4,55
3837,88;4,55
3835,95;4,55
3834,02;4,55
3832,09;4,54
3830,16;4,54
3828,23;4,53
3826,30;4,53
3824,37;4,52
3822,44;4,51
3820,51;4,51
3818,58;4,51
3816,65;4,51
3814,72;4,51
3812,79;4,50
3810,86;4,50
3808,93;4,49
3807,00;4,49
3805,07;4,48
3803,14;4,48
3801,21;4,47
3799,28;4,47
3797,35;4,46
3795,42;4,46
3793,49;4,45
3791,56;4,44
3789,63;4,43
3787,70;4,42
3785,77;4,41
3783,84;4,41
3781,91;4,40
3779,98;4,39
3778,05;4,38
3776,12;4,37
3774,19;4,36
3772,26;4,35
3770,33;4,34
3768,40;4,33
3766,47;4,32
3764,54;4,30
3762,61;4,29
3760,68;4,28
3758,75;4,26
3756,82;4,25
3754,89;4,23
3752,96;4,22
3751,03;4,21
3749,10;4,19
3747,17;4,17
3745,24;4,15
3743,31;4,13
3741,38;4,11
3739,45;4,08
3737,52;4,06
3735,59;4,03
3733,66;4,01
3731,73;3,98
3729,80;3,95
3727,87;3,92
3725,94;3,89
3724,01;3,85
3722,08;3,82
3720,15;3,78
3718,22;3,74
3716,29;3,70
3714,36;3,66
3712,43;3,61
3710,50;3,55
3708,57;3,50
3706,64;3,44
3704,71;3,38
3702,78;3,32
3700,85;3,25
3698,92;3,17
3696,99;3,10
3695,06;3,02
3693,13;2,94
3691,20;2,86
3689,27;2,77
3687,34;2,67
3685,41;2,58
3683,48;2,49
3681,55;2,39
3679,62;2,30
3677,69;2,21
3675,76;2,10
3673,83;2,00
3671,90;1,90
3669,97;1,80
3668,04;1,70
3666,11;1,61
3664,18;1,52
3662,25;1,43
3660,32;1,35
3658,39;1,27
3656,46;1,20
3654,53;1,12
3652,60;1,06
3650,67;1,00
3648,74;0,93
3646,81;0,87
3644,88;0,82
3642,95;0,77
3641,02;0,72
3639,09;0,68
3637,16;0,65
3635,23;0,61
3633,30;0,58
3631,37;0,55
3629,44;0,52
3627,51;0,49
3625,58;0,46
3623,65;0,43
3621,72;0,41
3619,79;0,39
3617,86;0,37
3615,93;0,35
3614,00;0,33
3612,07;0,32
3610,14;0,30
3608,21;0,29
3606,28;0,27
3604,35;0,25
3602,42;0,24
3600,49;0,23
3598,56;0,22
3596,63;0,21
3594,70;0,20
3592,77;0,19
3590,84;0,18
3588,91;0,17
3586,98;0,16
3585,05;0,15
3583,12;0,14
3581,19;0,14
3579,26;0,13
3577,33;0,13
3575,40;0,12
3573,47;0,12
3571,54;0,11
3569,61;0,11
3567,68;0,10
3565,75;0,10
3563,82;0,09
3561,89;0,09
3559,96;0,08
3558,03;0,08
3556,10;0,08
3554,17;0,08
3552,24;0,07
3550,31;0,07
3548,38;0,06
3546,45;0,06
3544,52;0,06
3542,59;0,06
3540,66;0,06
3538,73;0,06
3536,80;0,05
3534,87;0,05
3532,94;0,05
3531,01;0,05
3529,08;0,05
3527,15;0,05
3525,22;0,04
3523,29;0,04
3521,36;0,04
3519,43;0,04
3517,50;0,04
3515,57;0,04
3513,64;0,04
3511,71;0,04
3509,78;0,04
3507,85;0,04
3505,92;0,03
3503,99;0,03
3502,06;0,03
3500,13;0,03
3498,20;0,03
3496,27;0,02
3494,34;0,02
3492,41;0,02
3490,48;0,02
3488,55;0,02
3486,62;0,02
3484,69;0,02
3482,76;0,02
3480,83;0,02
3478,90;0,02
3476,97;0,02
3475,04;0,02
3473,11;0,02
3471,18;0,02
3469,25;0,02
3467,32;0,02
3465,39;0,02
3463,46;0,02
3461,53;0,02
3459,60;0,02
3457,67;0,02
3455,74;0,02
3453,81;0,02
3451,88;0,02
3449,95;0,02
3448,02;0,02
3446,09;0,02
3444,16;0,02
3442,23;0,02
3440,30;0,02
3438,37;0,02
3436,44;0,01
3434,51;0,01
3432,58;0,02
3430,65;0,02
3428,72;0,02
3426,79;0,02
3424,86;0,02
3422,93;0,02
3421,00;0,02
3419,07;0,01
3417,14;0,01
3415,21;0,01
3413,28;0,01
3411,35;0,01
3409,42;0,01
3407,49;0,01
3405,56;0,01
3403,63;0,01
3401,70;0,01
3399,77;0,01
3397,84;0,01
3395,91;0,01
3393,98;0,01
3392,05;0,01
3390,12;0,01
3388,19;0,01
3386,26;0,01
3384,33;0,01
3382,40;0,01
3380,47;0,01
3378,54;0,01
3376,61;0,01
3374,68;0,01
3372,75;0,01
3370,82;0,01
3368,89;0,01
3366,96;0,01
3365,03;0,01
3363,10;0,01
3361,17;0,01
3359,24;0,01
3357,31;0,01
3355,38;0,01
3353,45;0,01
3351,52;0,01
3349,59;0,01
3347,66;0,01
3345,73;0,01
3343,80;0,01
3341,87;0,01
3339,94;0,01
3338,01;0,01
3336,08;0,01
3334,15;0,01
3332,22;0,01
3330,29;0,01
3328,36;0,01
3326,43;0,01
3324,50;0,01
3322,57;0,01
3320,64;0,01
3318,71;0,01
3316,78;0,01
3314,85;0,02
3312,92;0,01
3310,99;0,01
3309,06;0,01
3307,13;0,01
3305,20;0,01
3303,27;0,01
3301,34;0,01
3299,41;0,02
3297,48;0,02
3295,55;0,02
3293,62;0,02
3291,69;0,02
3289,76;0,02
3287,83;0,02
3285,90;0,02
3283,97;0,02
3282,04;0,02
3280,11;0,02
3278,18;0,02
3276,25;0,02
3274,32;0,02
3272,39;0,02
3270,46;0,02
3268,53;0,02
3266,60;0,02
3264,67;0,02
3262,74;0,02
3260,81;0,02
3258,88;0,03
3256,95;0,03
3255,02;0,03
3253,09;0,03
3251,16;0,03
3249,23;0,03
3247,30;0,03
3245,37;0,03
3243,44;0,03
3241,51;0,03
3239,58;0,04
3237,65;0,04
3235,72;0,04
3233,79;0,04
3231,86;0,04
3229,93;0,04
3228,00;0,04
3226,07;0,05
3224,14;0,05
3222,21;0,05
3220,28;0,05
3218,35;0,06
3216,42;0,06
3214,49;0,06
3212,56;0,06
3210,63;0,06
3208,70;0,07
3206,77;0,07
3204,84;0,08
3202,91;0,08
3200,98;0,08
3199,05;0,09
3197,12;0,09
3195,19;0,10
3193,26;0,10
3191,33;0,11
3189,40;0,11
3187,47;0,12
3185,54;0,13
3183,61;0,13
3181,68;0,14
3179,75;0,15
3177,82;0,16
3175,89;0,17
3173,96;0,17
3172,03;0,18
3170,10;0,19
3168,17;0,20
3166,24;0,22
3164,31;0,23
3162,38;0,24
3160,45;0,25
3158,52;0,27
3156,59;0,28
3154,66;0,30
3152,73;0,31
3150,80;0,33
3148,87;0,35
3146,94;0,36
3145,01;0,38
3143,08;0,40
3141,15;0,42
3139,22;0,45
3137,29;0,47
3135,36;0,49
3133,43;0,52
3131,50;0,54
3129,57;0,57
3127,64;0,59
3125,71;0,62
3123,78;0,65
3121,85;0,67
3119,92;0,70
3117,99;0,73
3116,06;0,76
3114,13;0,79
3112,20;0,83
