Created as New Dataset;Amostra 408 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;63,17
3998,07;63,28
3996,14;63,40
3994,21;63,54
3992,28;63,69
3990,35;63,84
3988,42;64,01
3986,49;64,18
3984,56;64,35
3982,63;64,52
3980,70;64,68
3978,77;64,83
3976,84;64,96
3974,91;65,09
3972,98;65,21
3971,05;65,30
3969,12;65,39
3967,19;65,47
3965,26;65,55
3963,33;65,61
3961,40;65,67
3959,47;65,73
3957,54;65,78
3955,61;65,83
3953,68;65,87
3951,75;65,91
3949,82;65,95
3947,89;65,98
3945,96;66,01
3944,03;66,03
3942,10;66,06
3940,17;66,07
3938,24;66,09
3936,31;66,10
3934,38;66,11
3932,45;66,12
3930,52;66,13
3928,59;66,14
3926,66;66,14
3924,73;66,15
3922,80;66,16
3920,87;66,17
3918,94;66,18
3917,01;66,19
3915,08;66,20
3913,15;66,20
3911,22;66,21
3909,29;66,21
3907,36;66,23
3905,43;66,25
3903,50;66,30
3901,57;66,34
3899,64;66,36
3897,71;66,38
3895,78;66,40
3893,85;66,41
3891,92;66,42
3889,99;66,45
3888,06;66,48
3886,13;66,50
3884,20;66,53
3882,27;66,56
3880,34;66,58
3878,41;66,61
3876,48;66,63
3874,55;66,66
3872,62;66,71
3870,69;66,74
3868,76;66,79
3866,83;66,83
3864,90;66,87
3862,97;66,91
3861,04;66,93
3859,11;66,95
3857,18;66,98
3855,25;67,00
3853,32;67,04
3851,39;67,08
3849,46;67,08
3847,53;67,10
3845,60;67,10
3843,67;67,11
3841,74;67,13
3839,81;67,16
3837,88;67,19
3835,95;67,21
3834,02;67,24
3832,09;67,26
3830,16;67,27
3828,23;67,27
3826,30;67,28
3824,37;67,31
3822,44;67,33
3820,51;67,39
3818,58;67,45
3816,65;67,51
3814,72;67,56
3812,79;67,61
3810,86;67,67
3808,93;67,73
3807,00;67,80
3805,07;67,88
3803,14;67,95
3801,21;68,03
3799,28;68,09
3797,35;68,14
3795,42;68,18
3793,49;68,21
3791,56;68,24
3789,63;68,27
3787,70;68,31
3785,77;68,36
3783,84;68,42
3781,91;68,49
3779,98;68,57
3778,05;68,65
3776,12;68,72
3774,19;68,79
3772,26;68,86
3770,33;68,92
3768,40;68,98
3766,47;69,04
3764,54;69,08
3762,61;69,13
3760,68;69,18
3758,75;69,23
3756,82;69,29
3754,89;69,35
3752,96;69,42
3751,03;69,49
3749,10;69,55
3747,17;69,61
3745,24;69,64
3743,31;69,67
3741,38;69,68
3739,45;69,71
3737,52;69,75
3735,59;69,79
3733,66;69,82
3731,73;69,85
3729,80;69,87
3727,87;69,89
3725,94;69,91
3724,01;69,94
3722,08;69,98
3720,15;70,01
3718,22;70,04
3716,29;70,07
3714,36;70,10
3712,43;70,13
3710,50;70,15
3708,57;70,16
3706,64;70,16
3704,71;70,16
3702,78;70,15
3700,85;70,13
3698,92;70,12
3696,99;70,11
3695,06;70,11
3693,13;70,11
3691,20;70,12
3689,27;70,12
3687,34;70,12
3685,41;70,12
3683,48;70,10
3681,55;70,08
3679,62;70,07
3677,69;70,07
3675,76;70,05
3673,83;70,04
3671,90;70,01
3669,97;69,93
3668,04;69,83
3666,11;69,70
3664,18;69,57
3662,25;69,41
3660,32;69,22
3658,39;69,00
3656,46;68,72
3654,53;68,41
3652,60;68,13
3650,67;67,89
3648,74;67,76
3646,81;67,71
3644,88;67,71
3642,95;67,75
3641,02;67,78
3639,09;67,79
3637,16;67,76
3635,23;67,71
3633,30;67,64
3631,37;67,56
3629,44;67,45
3627,51;67,33
3625,58;67,20
3623,65;67,08
3621,72;66,96
3619,79;66,82
3617,86;66,71
3615,93;66,61
3614,00;66,50
3612,07;66,40
3610,14;66,31
3608,21;66,22
3606,28;66,16
3604,35;66,13
3602,42;66,15
3600,49;66,20
3598,56;66,28
3596,63;66,36
3594,70;66,42
3592,77;66,44
3590,84;66,45
3588,91;66,41
3586,98;66,35
3585,05;66,27
3583,12;66,18
3581,19;66,08
3579,26;65,96
3577,33;65,84
3575,40;65,72
3573,47;65,59
3571,54;65,47
3569,61;65,36
3567,68;65,25
3565,75;65,13
3563,82;65,00
3561,89;64,87
3559,96;64,73
3558,03;64,59
3556,10;64,45
3554,17;64,30
3552,24;64,16
3550,31;64,02
3548,38;63,87
3546,45;63,71
3544,52;63,55
3542,59;63,40
3540,66;63,25
3538,73;63,09
3536,80;62,92
3534,87;62,76
