Created as New Dataset;Amostra 412 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;67,76
3998,07;67,87
3996,14;67,98
3994,21;68,11
3992,28;68,25
3990,35;68,40
3988,42;68,56
3986,49;68,72
3984,56;68,89
3982,63;69,06
3980,70;69,23
3978,77;69,38
3976,84;69,52
3974,91;69,64
3972,98;69,76
3971,05;69,86
3969,12;69,95
3967,19;70,03
3965,26;70,10
3963,33;70,17
3961,40;70,23
3959,47;70,29
3957,54;70,34
3955,61;70,39
3953,68;70,43
3951,75;70,47
3949,82;70,51
3947,89;70,55
3945,96;70,58
3944,03;70,60
3942,10;70,62
3940,17;70,64
3938,24;70,65
3936,31;70,66
3934,38;70,67
3932,45;70,68
3930,52;70,69
3928,59;70,70
3926,66;70,71
3924,73;70,72
3922,80;70,73
3920,87;70,74
3918,94;70,75
3917,01;70,76
3915,08;70,78
3913,15;70,79
3911,22;70,80
3909,29;70,81
3907,36;70,82
3905,43;70,84
3903,50;70,87
3901,57;70,90
3899,64;70,93
3897,71;70,96
3895,78;70,99
3893,85;71,01
3891,92;71,03
3889,99;71,06
3888,06;71,08
3886,13;71,10
3884,20;71,13
3882,27;71,16
3880,34;71,19
3878,41;71,22
3876,48;71,25
3874,55;71,28
3872,62;71,32
3870,69;71,36
3868,76;71,40
3866,83;71,44
3864,90;71,48
3862,97;71,52
3861,04;71,55
3859,11;71,58
3857,18;71,60
3855,25;71,62
3853,32;71,65
3851,39;71,68
3849,46;71,71
3847,53;71,73
3845,60;71,76
3843,67;71,77
3841,74;71,79
3839,81;71,81
3837,88;71,82
3835,95;71,85
3834,02;71,88
3832,09;71,92
3830,16;71,94
3828,23;71,96
3826,30;71,97
3824,37;71,99
3822,44;72,01
3820,51;72,05
3818,58;72,11
3816,65;72,17
3814,72;72,23
3812,79;72,29
3810,86;72,35
3808,93;72,41
3807,00;72,48
3805,07;72,54
3803,14;72,61
3801,21;72,67
3799,28;72,73
3797,35;72,79
3795,42;72,84
3793,49;72,88
3791,56;72,92
3789,63;72,95
3787,70;73,00
3785,77;73,05
3783,84;73,10
3781,91;73,15
3779,98;73,22
3778,05;73,29
3776,12;73,36
3774,19;73,42
3772,26;73,48
3770,33;73,53
3768,40;73,59
3766,47;73,63
3764,54;73,68
3762,61;73,72
3760,68;73,76
3758,75;73,81
3756,82;73,85
3754,89;73,90
3752,96;73,94
3751,03;73,99
3749,10;74,04
3747,17;74,09
3745,24;74,12
3743,31;74,15
3741,38;74,18
3739,45;74,21
3737,52;74,25
3735,59;74,28
3733,66;74,32
3731,73;74,35
3729,80;74,39
3727,87;74,42
3725,94;74,46
3724,01;74,50
3722,08;74,54
3720,15;74,58
3718,22;74,61
3716,29;74,65
3714,36;74,68
3712,43;74,70
3710,50;74,72
3708,57;74,72
3706,64;74,73
3704,71;74,73
3702,78;74,73
3700,85;74,73
3698,92;74,72
3696,99;74,72
3695,06;74,72
3693,13;74,72
3691,20;74,71
3689,27;74,70
3687,34;74,71
3685,41;74,72
3683,48;74,72
3681,55;74,72
3679,62;74,70
3677,69;74,68
3675,76;74,65
3673,83;74,62
3671,90;74,60
3669,97;74,55
3668,04;74,48
3666,11;74,41
3664,18;74,32
3662,25;74,22
3660,32;74,11
3658,39;73,99
3656,46;73,84
3654,53;73,69
3652,60;73,56
3650,67;73,43
3648,74;73,35
3646,81;73,31
3644,88;73,30
3642,95;73,29
3641,02;73,27
3639,09;73,23
3637,16;73,18
3635,23;73,13
3633,30;73,07
3631,37;73,00
3629,44;72,92
3627,51;72,83
3625,58;72,73
3623,65;72,62
3621,72;72,51
3619,79;72,39
3617,86;72,28
3615,93;72,21
3614,00;72,17
3612,07;72,16
3610,14;72,17
3608,21;72,21
3606,28;72,29
3604,35;72,41
3602,42;72,57
3600,49;72,76
3598,56;72,97
3596,63;73,18
3594,70;73,36
3592,77;73,51
3590,84;73,61
3588,91;73,69
3586,98;73,73
3585,05;73,76
3583,12;73,78
3581,19;73,79
3579,26;73,78
3577,33;73,76
3575,40;73,73
3573,47;73,71
3571,54;73,68
3569,61;73,65
3567,68;73,63
3565,75;73,61
3563,82;73,58
3561,89;73,54
3559,96;73,51
3558,03;73,46
3556,10;73,41
3554,17;73,36
3552,24;73,30
3550,31;73,23
3548,38;73,17
3546,45;73,09
3544,52;73,01
3542,59;72,95
3540,66;72,89
3538,73;72,82
3536,80;72,74
3534,87;72,67
3532,94;72,61
3531,01;72,54
3529,08;72,47
3527,15;72,39
3525,22;72,30
3523,29;72,22
3521,36;72,15
3519,43;72,08
3517,50;71,99
3515,57;71,90
3513,64;71,81
3511,71;71,73
3509,78;71,65
3507,85;71,57
3505,92;71,48
3503,99;71,38
3502,06;71,28
3500,13;71,19
3498,20;71,10
3496,27;71,00
3494,34;70,90
3492,41;70,80
3490,48;70,69
3488,55;70,58
3486,62;70,48
3484,69;70,38
3482,76;70,28
3480,83;70,18
3478,90;70,10
3476,97;70,01
3475,04;69,93
3473,11;69,83
3471,18;69,73
3469,25;69,62
3467,32;69,54
3465,39;69,48
3463,46;69,41
3461,53;69,34
3459,60;69,27
3457,67;69,22
3455,74;69,16
3453,81;69,11
3451,88;69,06
3449,95;69,01
3448,02;68,96
3446,09;68,92
3444,16;68,88
3442,23;68,84
3440,30;68,80
3438,37;68,76
3436,44;68,72
3434,51;68,69
3432,58;68,66
3430,65;68,64
3428,72;68,61
3426,79;68,58
3424,86;68,55
3422,93;68,52
3421,00;68,49
3419,07;68,45
3417,14;68,42
3415,21;68,39
3413,28;68,36
3411,35;68,32
3409,42;68,29
3407,49;68,25
3405,56;68,22
3403,63;68,19
3401,70;68,16
3399,77;68,13
3397,84;68,11
3395,91;68,08
3393,98;68,04
3392,05;68,01
3390,12;67,99
3388,19;67,97
3386,26;67,95
3384,33;67,93
3382,40;67,90
3380,47;67,88
3378,54;67,87
3376,61;67,86
3374,68;67,85
3372,75;67,84
3370,82;67,82
3368,89;67,82
3366,96;67,83
3365,03;67,85
3363,10;67,87
3361,17;67,88
3359,24;67,90
3357,31;67,92
3355,38;67,93
3353,45;67,95
3351,52;67,96
3349,59;67,98
3347,66;68,01
3345,73;68,04
3343,80;68,07
3341,87;68,09
3339,94;68,12
3338,01;68,16
3336,08;68,20
3334,15;68,25
3332,22;68,29
3330,29;68,34
3328,36;68,38
3326,43;68,42
3324,50;68,47
3322,57;68,52
3320,64;68,57
3318,71;68,61
3316,78;68,66
3314,85;68,70
3312,92;68,74
3310,99;68,76
3309,06;68,79
3307,13;68,81
3305,20;68,84
3303,27;68,88
3301,34;68,92
3299,41;68,94
3297,48;68,95
3295,55;68,96
3293,62;68,97
3291,69;68,98
3289,76;69,00
3287,83;69,01
3285,90;69,01
3283,97;69,01
3282,04;69,00
3280,11;68,99
3278,18;68,98
3276,25;68,95
3274,32;68,93
3272,39;68,89
3270,46;68,86
3268,53;68,84
3266,60;68,81
3264,67;68,77
3262,74;68,73
3260,81;68,68
3258,88;68,63
3256,95;68,57
3255,02;68,51
3253,09;68,44
3251,16;68,36
3249,23;68,28
3247,30;68,18
3245,37;68,08
3243,44;67,97
3241,51;67,86
3239,58;67,72
3237,65;67,58
3235,72;67,42
3233,79;67,25
3231,86;67,08
3229,93;66,89
3228,00;66,69
3226,07;66,47
3224,14;66,23
3222,21;65,99
3220,28;65,73
3218,35;65,45
3216,42;65,16
3214,49;64,85
3212,56;64,54
3210,63;64,21
3208,70;63,88
3206,77;63,55
3204,84;63,21
3202,91;62,88
3200,98;62,56
3199,05;62,24
3197,12;61,94
3195,19;61,65
3193,26;61,38
3191,33;61,13
3189,40;60,90
3187,47;60,70
3185,54;60,51
3183,61;60,35
3181,68;60,20
3179,75;60,08
3177,82;59,97
3175,89;59,87
3173,96;59,79
3172,03;59,73
3170,10;59,68
3168,17;59,64
3166,24;59,61
3164,31;59,59
