Created as New Dataset;Amostra 416 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;64,17
3998,07;64,30
3996,14;64,45
3994,21;64,61
3992,28;64,80
3990,35;65,00
3988,42;65,20
3986,49;65,41
3984,56;65,63
3982,63;65,83
3980,70;66,03
3978,77;66,20
3976,84;66,35
3974,91;66,49
3972,98;66,60
3971,05;66,70
3969,12;66,79
3967,19;66,87
3965,26;66,94
3963,33;67,00
3961,40;67,05
3959,47;67,11
3957,54;67,15
3955,61;67,20
3953,68;67,24
3951,75;67,28
3949,82;67,32
3947,89;67,35
3945,96;67,38
3944,03;67,41
3942,10;67,43
3940,17;67,45
3938,24;67,46
3936,31;67,47
3934,38;67,48
3932,45;67,49
3930,52;67,50
3928,59;67,51
3926,66;67,52
3924,73;67,53
3922,80;67,54
3920,87;67,54
3918,94;67,55
3917,01;67,56
3915,08;67,57
3913,15;67,58
3911,22;67,59
3909,29;67,61
3907,36;67,63
3905,43;67,64
3903,50;67,67
3901,57;67,70
3899,64;67,73
3897,71;67,76
3895,78;67,79
3893,85;67,81
3891,92;67,84
3889,99;67,86
3888,06;67,89
3886,13;67,91
3884,20;67,94
3882,27;67,97
3880,34;68,00
3878,41;68,04
3876,48;68,07
3874,55;68,11
3872,62;68,15
3870,69;68,18
3868,76;68,23
3866,83;68,27
3864,90;68,32
3862,97;68,36
3861,04;68,39
3859,11;68,42
3857,18;68,44
3855,25;68,46
3853,32;68,49
3851,39;68,52
3849,46;68,54
3847,53;68,57
3845,60;68,59
3843,67;68,61
3841,74;68,62
3839,81;68,64
3837,88;68,66
3835,95;68,68
3834,02;68,72
3832,09;68,75
3830,16;68,77
3828,23;68,78
3826,30;68,78
3824,37;68,80
3822,44;68,82
3820,51;68,86
3818,58;68,92
3816,65;68,97
3814,72;69,05
3812,79;69,11
3810,86;69,17
3808,93;69,24
3807,00;69,30
3805,07;69,37
3803,14;69,44
3801,21;69,51
3799,28;69,58
3797,35;69,63
3795,42;69,68
3793,49;69,72
3791,56;69,75
3789,63;69,78
3787,70;69,82
3785,77;69,87
3783,84;69,92
3781,91;69,97
3779,98;70,04
3778,05;70,11
3776,12;70,18
3774,19;70,25
3772,26;70,31
3770,33;70,37
3768,40;70,42
3766,47;70,47
3764,54;70,51
3762,61;70,56
3760,68;70,60
3758,75;70,65
3756,82;70,70
3754,89;70,75
3752,96;70,80
3751,03;70,86
3749,10;70,92
3747,17;70,97
3745,24;71,01
3743,31;71,05
3741,38;71,08
3739,45;71,12
3737,52;71,17
3735,59;71,20
3733,66;71,24
3731,73;71,28
3729,80;71,31
3727,87;71,34
3725,94;71,37
3724,01;71,41
3722,08;71,45
3720,15;71,49
3718,22;71,52
3716,29;71,56
3714,36;71,58
3712,43;71,59
3710,50;71,60
3708,57;71,61
3706,64;71,62
3704,71;71,63
3702,78;71,63
3700,85;71,62
3698,92;71,61
3696,99;71,60
3695,06;71,59
3693,13;71,59
3691,20;71,59
3689,27;71,58
3687,34;71,59
3685,41;71,61
3683,48;71,62
3681,55;71,61
3679,62;71,60
3677,69;71,59
3675,76;71,57
3673,83;71,55
3671,90;71,52
3669,97;71,47
3668,04;71,38
3666,11;71,27
3664,18;71,14
3662,25;70,94
3660,32;70,67
3658,39;70,29
3656,46;69,75
3654,53;69,16
3652,60;68,65
3650,67;68,30
3648,74;68,25
3646,81;68,49
3644,88;68,85
3642,95;69,22
3641,02;69,54
3639,09;69,77
3637,16;69,93
3635,23;70,01
3633,30;70,07
3631,37;70,08
3629,44;70,07
3627,51;70,06
3625,58;70,04
3623,65;70,03
3621,72;70,00
3619,79;69,96
3617,86;69,92
3615,93;69,89
3614,00;69,87
3612,07;69,86
3610,14;69,87
3608,21;69,91
3606,28;69,98
3604,35;70,10
3602,42;70,27
3600,49;70,47
3598,56;70,68
3596,63;70,90
3594,70;71,08
3592,77;71,23
3590,84;71,34
3588,91;71,42
3586,98;71,46
3585,05;71,48
3583,12;71,50
3581,19;71,50
3579,26;71,49
3577,33;71,46
3575,40;71,42
3573,47;71,38
3571,54;71,34
3569,61;71,31
3567,68;71,27
3565,75;71,23
3563,82;71,18
3561,89;71,14
3559,96;71,08
3558,03;71,03
3556,10;70,96
3554,17;70,90
3552,24;70,82
3550,31;70,74
3548,38;70,65
3546,45;70,55
3544,52;70,44
3542,59;70,35
3540,66;70,26
3538,73;70,15
3536,80;70,04
3534,87;69,93
3532,94;69,82
3531,01;69,71
3529,08;69,60
3527,15;69,48
3525,22;69,35
3523,29;69,23
3521,36;69,11
3519,43;68,99
3517,50;68,86
3515,57;68,73
3513,64;68,60
3511,71;68,48
3509,78;68,36
3507,85;68,23
3505,92;68,10
3503,99;67,96
3502,06;67,83
3500,13;67,70
3498,20;67,58
3496,27;67,45
3494,34;67,32
3492,41;67,19
3490,48;67,06
3488,55;66,93
3486,62;66,79
3484,69;66,66
3482,76;66,53
3480,83;66,40
3478,90;66,27
3476,97;66,15
3475,04;66,02
3473,11;65,90
3471,18;65,77
3469,25;65,64
3467,32;65,53
3465,39;65,42
3463,46;65,32
3461,53;65,21
3459,60;65,11
3457,67;65,01
3455,74;64,90
3453,81;64,79
3451,88;64,68
3449,95;64,56
3448,02;64,42
3446,09;64,26
3444,16;64,09
3442,23;63,91
3440,30;63,74
3438,37;63,60
3436,44;63,51
3434,51;63,47
3432,58;63,46
3430,65;63,47
3428,72;63,50
3426,79;63,53
3424,86;63,57
3422,93;63,60
3421,00;63,63
3419,07;63,65
3417,14;63,66
3415,21;63,67
3413,28;63,67
3411,35;63,67
3409,42;63,67
3407,49;63,65
3405,56;63,63
3403,63;63,61
3401,70;63,59
3399,77;63,56
3397,84;63,54
3395,91;63,51
3393,98;63,47
3392,05;63,44
3390,12;63,40
3388,19;63,37
3386,26;63,35
3384,33;63,33
3382,40;63,31
3380,47;63,28
3378,54;63,26
3376,61;63,25
3374,68;63,24
3372,75;63,22
3370,82;63,21
3368,89;63,21
3366,96;63,21
3365,03;63,22
3363,10;63,23
3361,17;63,25
3359,24;63,26
3357,31;63,27
3355,38;63,29
3353,45;63,30
3351,52;63,32
3349,59;63,34
3347,66;63,37
3345,73;63,40
3343,80;63,43
3341,87;63,46
3339,94;63,49
3338,01;63,53
3336,08;63,59
3334,15;63,64
3332,22;63,70
3330,29;63,76
3328,36;63,81
3326,43;63,87
3324,50;63,93
3322,57;64,00
3320,64;64,06
3318,71;64,12
3316,78;64,18
3314,85;64,24
3312,92;64,29
3310,99;64,33
3309,06;64,37
3307,13;64,41
3305,20;64,46
3303,27;64,52
3301,34;64,57
3299,41;64,61
3297,48;64,64
3295,55;64,67
3293,62;64,70
3291,69;64,73
3289,76;64,77
3287,83;64,80
3285,90;64,82
3283,97;64,84
3282,04;64,86
3280,11;64,87
3278,18;64,88
3276,25;64,88
3274,32;64,88
3272,39;64,88
3270,46;64,87
3268,53;64,87
3266,60;64,87
3264,67;64,85
3262,74;64,83
3260,81;64,80
3258,88;64,77
3256,95;64,73
3255,02;64,69
3253,09;64,64
3251,16;64,59
3249,23;64,52
3247,30;64,44
3245,37;64,37
3243,44;64,29
3241,51;64,19
3239,58;64,08
3237,65;63,96
3235,72;63,83
3233,79;63,68
3231,86;63,53
3229,93;63,37
3228,00;63,19
3226,07;62,99
3224,14;62,78
3222,21;62,55
3220,28;62,31
3218,35;62,05
3216,42;61,77
3214,49;61,49
3212,56;61,19
3210,63;60,88
3208,70;60,56
3206,77;60,24
3204,84;59,92
3202,91;59,60
3200,98;59,29
3199,05;58,99
3197,12;58,70
3195,19;58,43
3193,26;58,18
3191,33;57,95
3189,40;57,73
3187,47;57,55
3185,54;57,38
3183,61;57,23
3181,68;57,11
3179,75;57,00
3177,82;56,92
3175,89;56,85
3173,96;56,81
3172,03;56,78
3170,10;56,76
3168,17;56,76
3166,24;56,77
3164,31;56,79
3162,38;56,81
3160,45;56,84
3158,52;56,88
3156,59;56,92
3154,66;56,96
3152,73;56,99
3150,80;57,04
3148,87;57,09
3146,94;57,13
3145,01;57,16
3143,08;57,19
3141,15;57,21
3139,22;57,23
3137,29;57,24
3135,36;57,25
3133,43;57,25
3131,50;57,24
3129,57;57,22
3127,64;57,19
3125,71;57,16
3123,78;57,11
3121,85;57,05
3119,92;56,97
3117,99;56,89
3116,06;56,79
3114,13;56,68
3112,20;56,55
3110,27;56,39
3108,34;56,21
3106,41;56,02
3104,48;55,81
3102,55;55,59
3100,62;55,35
3098,69;55,10
3096,76;54,83
3094,83;54,56
3092,90;54,28
3090,97;53,98
3089,04;53,66
3087,11;53,31
3085,18;52,93
3083,25;52,53
3081,32;52,10
3079,39;51,64
3077,46;51,16
3075,53;50,66
3073,60;50,13
3071,67;49,57
3069,74;49,00
3067,81;48,39
3065,88;47,77
3063,95;47,14
3062,02;46,49
3060,09;45,84
3058,16;45,17
3056,23;44,49
3054,30;43,81
3052,37;43,13
3050,44;42,44
3048,51;41,72
3046,58;40,98
3044,65;40,19
3042,72;39,37
3040,79;38,49
3038,86;37,56
3036,93;36,58
3035,00;35,55
3033,07;34,47
3031,14;33,34
3029,21;32,17
3027,28;30,98
3025,35;29,74
3023,42;28,45
3021,49;27,10
3019,56;25,70
3017,63;24,22
3015,70;22,67
3013,77;21,04
3011,84;19,33
3009,91;17,54
3007,98;15,70
3006,05;13,81
3004,12;11,93
3002,19;10,09
3000,26;8,35
2998,33;6,75
2996,40;5,34
2994,47;4,12
2992,54;3,11
2990,61;2,30
2988,68;1,65
2986,75;1,14
2984,82;0,75
2982,89;0,46
2980,96;0,26
2979,03;0,15
2977,10;0,09
2975,17;0,06
2973,24;0,05
2971,31;0,05
2969,38;0,05
2967,45;0,05
2965,52;0,05
2963,59;0,05
2961,66;0,04
2959,73;0,04
2957,80;0,04
2955,87;0,04
2953,94;0,04
2952,01;0,04
2950,08;0,04
2948,15;0,04
2946,22;0,04
2944,29;0,04
2942,36;0,04
2940,43;0,04
2938,50;0,04
2936,57;0,04
2934,64;0,04
2932,71;0,04
2930,78;0,04
2928,85;0,04
2926,92;0,04
2924,99;0,04
2923,06;0,04
2921,13;0,04
2919,20;0,04
2917,27;0,04
2915,34;0,04
2913,41;0,04
2911,48;0,04
2909,55;0,04
2907,62;0,04
2905,69;0,04
2903,76;0,04
2901,83;0,04
2899,90;0,04
2897,97;0,03
2896,04;0,04
2894,11;0,04
2892,18;0,04
2890,25;0,04
2888,32;0,04
2886,39;0,03
2884,46;0,03
2882,53;0,04
2880,60;0,04
2878,67;0,04
2876,74;0,04
2874,81;0,04
2872,88;0,04
2870,95;0,04
2869,02;0,04
2867,09;0,04
2865,16;0,04
2863,23;0,04
2861,30;0,04
2859,37;0,05
2857,44;0,05
2855,51;0,05
2853,58;0,05
2851,65;0,05
2849,72;0,05
2847,79;0,05
2845,86;0,06
2843,93;0,06
2842,00;0,06
2840,07;0,05
2838,14;0,06
2836,21;0,09
2834,28;0,17
2832,35;0,34
2830,42;0,62
2828,49;1,03
2826,56;1,55
2824,63;2,17
2822,70;2,85
2820,77;3,60
2818,84;4,42
2816,91;5,29
2814,98;6,21
2813,05;7,19
2811,12;8,23
2809,19;9,33
2807,26;10,49
2805,33;11,68
2803,40;12,89
2801,47;14,11
2799,54;15,34
2797,61;16,58
2795,68;17,83
2793,75;19,11
2791,82;20,41
2789,89;21,74
2787,96;23,12
2786,03;24,51
2784,10;25,92
2782,17;27,32
2780,24;28,68
2778,31;30,00
2776,38;31,24
2774,45;32,39
2772,52;33,44
2770,59;34,38
2768,66;35,21
2766,73;35,92
2764,80;36,49
2762,87;36,93
2760,94;37,27
2759,01;37,55
2757,08;37,81
2755,15;38,03
2753,22;38,19
2751,29;38,26
2749,36;38,23
2747,43;38,09
2745,50;37,85
2743,57;37,50
2741,64;37,03
2739,71;36,42
2737,78;35,69
2735,85;34,84
2733,92;33,91
2731,99;33,03
2730,06;32,37
2728,13;32,05
2726,20;32,04
2724,27;32,22
2722,34;32,53
2720,41;32,97
2718,48;33,55
2716,55;34,29
2714,62;35,17
2712,69;36,10
2710,76;36,96
2708,83;37,68
2706,90;38,25
2704,97;38,66
2703,04;38,93
2701,11;39,07
2699,18;39,10
2697,25;39,03
2695,32;38,87
2693,39;38,66
2691,46;38,42
2689,53;38,19
2687,60;38,00
2685,67;37,87
2683,74;37,80
2681,81;37,78
2679,88;37,79
2677,95;37,81
2676,02;37,82
2674,09;37,83
2672,16;37,87
2670,23;37,98
2668,30;38,22
2666,37;38,59
2664,44;39,03
2662,51;39,52
2660,58;40,03
2658,65;40,54
2656,72;41,04
