Created as New Dataset;Amostra 401 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;18,44
3998,07;18,48
3996,14;18,51
3994,21;18,55
3992,28;18,60
3990,35;18,65
3988,42;18,70
3986,49;18,75
3984,56;18,80
3982,63;18,86
3980,70;18,91
3978,77;18,95
3976,84;18,99
3974,91;19,03
3972,98;19,07
3971,05;19,10
3969,12;19,13
3967,19;19,15
3965,26;19,18
3963,33;19,20
3961,40;19,22
3959,47;19,24
3957,54;19,26
3955,61;19,27
3953,68;19,29
3951,75;19,31
3949,82;19,32
3947,89;19,34
3945,96;19,36
3944,03;19,37
3942,10;19,38
3940,17;19,38
3938,24;19,39
3936,31;19,40
3934,38;19,41
3932,45;19,42
3930,52;19,43
3928,59;19,44
3926,66;19,44
3924,73;19,45
3922,80;19,45
3920,87;19,46
3918,94;19,48
3917,01;19,49
3915,08;19,49
3913,15;19,49
3911,22;19,49
3909,29;19,49
3907,36;19,50
3905,43;19,52
3903,50;19,55
3901,57;19,58
3899,64;19,59
3897,71;19,60
3895,78;19,60
3893,85;19,59
3891,92;19,59
3889,99;19,60
3888,06;19,62
3886,13;19,64
3884,20;19,64
3882,27;19,66
3880,34;19,66
3878,41;19,67
3876,48;19,68
3874,55;19,68
3872,62;19,69
3870,69;19,72
3868,76;19,73
3866,83;19,75
3864,90;19,76
3862,97;19,76
3861,04;19,77
3859,11;19,76
3857,18;19,75
3855,25;19,76
3853,32;19,80
3851,39;19,83
3849,46;19,83
3847,53;19,80
3845,60;19,79
3843,67;19,78
3841,74;19,78
3839,81;19,80
3837,88;19,82
3835,95;19,82
3834,02;19,83
3832,09;19,82
3830,16;19,81
3828,23;19,80
3826,30;19,79
3824,37;19,79
3822,44;19,80
3820,51;19,81
3818,58;19,83
3816,65;19,85
3814,72;19,85
3812,79;19,84
3810,86;19,83
3808,93;19,83
3807,00;19,84
3805,07;19,86
3803,14;19,89
3801,21;19,90
3799,28;19,90
3797,35;19,91
3795,42;19,89
3793,49;19,88
3791,56;19,86
3789,63;19,85
3787,70;19,84
3785,77;19,84
3783,84;19,84
3781,91;19,85
3779,98;19,86
3778,05;19,86
3776,12;19,87
3774,19;19,86
3772,26;19,86
3770,33;19,86
3768,40;19,86
3766,47;19,87
3764,54;19,85
3762,61;19,84
3760,68;19,84
3758,75;19,83
3756,82;19,82
3754,89;19,82
3752,96;19,83
3751,03;19,83
3749,10;19,84
3747,17;19,83
3745,24;19,82
3743,31;19,78
3741,38;19,75
3739,45;19,71
3737,52;19,68
3735,59;19,65
3733,66;19,63
3731,73;19,59
