Created as New Dataset;Amostra 394 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;24,07
3998,07;24,11
3996,14;24,15
3994,21;24,20
3992,28;24,25
3990,35;24,31
3988,42;24,36
3986,49;24,41
3984,56;24,47
3982,63;24,52
3980,70;24,57
3978,77;24,61
3976,84;24,65
3974,91;24,69
3972,98;24,72
3971,05;24,75
3969,12;24,77
3967,19;24,80
3965,26;24,82
3963,33;24,84
3961,40;24,86
3959,47;24,88
3957,54;24,90
3955,61;24,91
3953,68;24,92
3951,75;24,94
3949,82;24,95
3947,89;24,96
3945,96;24,97
3944,03;24,98
3942,10;24,99
3940,17;25,00
3938,24;25,00
3936,31;25,01
3934,38;25,01
3932,45;25,02
3930,52;25,03
3928,59;25,04
3926,66;25,04
3924,73;25,04
3922,80;25,05
3920,87;25,05
3918,94;25,05
3917,01;25,06
3915,08;25,05
3913,15;25,05
3911,22;25,04
3909,29;25,03
3907,36;25,03
3905,43;25,05
3903,50;25,07
3901,57;25,08
3899,64;25,09
3897,71;25,07
3895,78;25,06
3893,85;25,05
3891,92;25,05
3889,99;25,04
3888,06;25,05
3886,13;25,05
3884,20;25,04
3882,27;25,05
3880,34;25,05
3878,41;25,04
3876,48;25,03
3874,55;25,03
3872,62;25,03
3870,69;25,04
3868,76;25,03
3866,83;25,04
3864,90;25,04
3862,97;25,03
3861,04;25,02
3859,11;25,00
3857,18;24,98
3855,25;24,97
3853,32;24,99
3851,39;25,00
3849,46;24,98
3847,53;24,95
3845,60;24,92
3843,67;24,90
3841,74;24,89
3839,81;24,89
3837,88;24,88
3835,95;24,87
3834,02;24,86
3832,09;24,85
3830,16;24,82
3828,23;24,80
3826,30;24,77
3824,37;24,75
3822,44;24,75
3820,51;24,74
3818,58;24,74
3816,65;24,73
3814,72;24,71
3812,79;24,70
3810,86;24,68
3808,93;24,67
3807,00;24,66
3805,07;24,65
3803,14;24,66
3801,21;24,65
3799,28;24,64
3797,35;24,63
3795,42;24,60
3793,49;24,57
3791,56;24,53
3789,63;24,50
3787,70;24,48
3785,77;24,46
3783,84;24,44
3781,91;24,42
3779,98;24,41
3778,05;24,39
3776,12;24,36
3774,19;24,34
3772,26;24,32
3770,33;24,30
3768,40;24,27
3766,47;24,25
3764,54;24,21
3762,61;24,17
3760,68;24,14
3758,75;24,11
3756,82;24,08
3754,89;24,04
3752,96;24,01
3751,03;23,98
3749,10;23,95
3747,17;23,91
3745,24;23,86
3743,31;23,78
3741,38;23,72
3739,45;23,64
3737,52;23,56
3735,59;23,49
3733,66;23,43
3731,73;23,35
3729,80;23,26
3727,87;23,18
3725,94;23,11
3724,01;23,06
3722,08;23,01
3720,15;22,95
3718,22;22,89
3716,29;22,82
3714,36;22,74
3712,43;22,63
3710,50;22,50
3708,57;22,37
3706,64;22,23
3704,71;22,08
3702,78;21,93
3700,85;21,76
3698,92;21,59
3696,99;21,41
3695,06;21,23
3693,13;21,06
3691,20;20,90
3689,27;20,75
3687,34;20,63
3685,41;20,51
3683,48;20,36
3681,55;20,20
3679,62;20,05
3677,69;19,91
3675,76;19,75
3673,83;19,60
3671,90;19,44
3669,97;19,23
3668,04;19,03
3666,11;18,84
3664,18;18,64
3662,25;18,43
3660,32;18,22
3658,39;18,03
3656,46;17,83
3654,53;17,64
3652,60;17,46
3650,67;17,26
3648,74;17,06
3646,81;16,87
3644,88;16,68
3642,95;16,49
3641,02;16,30
3639,09;16,12
3637,16;15,94
3635,23;15,77
3633,30;15,61
3631,37;15,46
3629,44;15,29
3627,51;15,13
3625,58;14,97
3623,65;14,82
3621,72;14,68
3619,79;14,55
3617,86;14,43
3615,93;14,32
3614,00;14,20
3612,07;14,08
3610,14;13,95
3608,21;13,82
3606,28;13,70
3604,35;13,59
3602,42;13,49
3600,49;13,40
3598,56;13,32
3596,63;13,24
3594,70;13,15
3592,77;13,06
3590,84;12,97
3588,91;12,86
3586,98;12,74
3585,05;12,63
3583,12;12,52
3581,19;12,40
3579,26;12,29
3577,33;12,17
3575,40;12,05
3573,47;11,93
3571,54;11,81
3569,61;11,70
3567,68;11,59
3565,75;11,49
3563,82;11,38
3561,89;11,27
3559,96;11,16
3558,03;11,05
3556,10;10,95
3554,17;10,85
3552,24;10,75
3550,31;10,65
3548,38;10,55
3546,45;10,45
3544,52;10,36
3542,59;10,27
3540,66;10,18
3538,73;10,09
3536,80;10,00
3534,87;9,92
3532,94;9,85
3531,01;9,77
3529,08;9,69
3527,15;9,62
3525,22;9,55
