Created as New Dataset;Amostra 398 por Laboratório data segunda-feira, setembro 23 2024
cm-1;%T
4000,00;10,28
3998,07;10,28
3996,14;10,29
3994,21;10,30
3992,28;10,32
3990,35;10,33
3988,42;10,35
3986,49;10,36
3984,56;10,38
3982,63;10,39
3980,70;10,41
3978,77;10,42
3976,84;10,44
3974,91;10,45
3972,98;10,46
3971,05;10,46
3969,12;10,47
3967,19;10,48
3965,26;10,48
3963,33;10,48
3961,40;10,49
3959,47;10,49
3957,54;10,49
3955,61;10,49
3953,68;10,49
3951,75;10,49
3949,82;10,49
3947,89;10,48
3945,96;10,48
3944,03;10,47
3942,10;10,47
3940,17;10,47
3938,24;10,46
3936,31;10,46
3934,38;10,45
3932,45;10,45
3930,52;10,45
3928,59;10,44
3926,66;10,44
3924,73;10,43
3922,80;10,42
3920,87;10,42
3918,94;10,41
3917,01;10,40
3915,08;10,39
3913,15;10,38
3911,22;10,37
3909,29;10,36
3907,36;10,35
3905,43;10,35
3903,50;10,35
3901,57;10,34
3899,64;10,32
3897,71;10,31
3895,78;10,30
3893,85;10,29
3891,92;10,28
3889,99;10,27
3888,06;10,26
3886,13;10,25
3884,20;10,24
3882,27;10,23
3880,34;10,22
3878,41;10,21
3876,48;10,20
3874,55;10,18
3872,62;10,18
3870,69;10,17
3868,76;10,15
3866,83;10,14
3864,90;10,13
3862,97;10,12
3861,04;10,10
3859,11;10,08
3857,18;10,07
3855,25;10,05
3853,32;10,04
3851,39;10,02
3849,46;10,00
3847,53;9,98
3845,60;9,97
3843,67;9,96
3841,74;9,94
3839,81;9,93
3837,88;9,90
3835,95;9,88
3834,02;9,86
3832,09;9,85
3830,16;9,83
3828,23;9,81
3826,30;9,79
3824,37;9,77
3822,44;9,76
3820,51;9,74
3818,58;9,72
3816,65;9,70
3814,72;9,68
3812,79;9,66
3810,86;9,64
3808,93;9,63
3807,00;9,61
3805,07;9,59
3803,14;9,57
3801,21;9,55
3799,28;9,53
3797,35;9,51
3795,42;9,49
3793,49;9,46
3791,56;9,44
3789,63;9,41
3787,70;9,39
3785,77;9,37
3783,84;9,34
3781,91;9,32
3779,98;9,30
3778,05;9,27
3776,12;9,25
3774,19;9,22
3772,26;9,20
3770,33;9,18
3768,40;9,15
3766,47;9,12
3764,54;9,09
3762,61;9,06
3760,68;9,03
3758,75;9,00
3756,82;8,97
3754,89;8,94
3752,96;8,91
3751,03;8,88
3749,10;8,85
3747,17;8,81
3745,24;8,77
3743,31;8,73
3741,38;8,70
3739,45;8,66
3737,52;8,62
3735,59;8,59
3733,66;8,54
3731,73;8,50
3729,80;8,45
3727,87;8,41
3725,94;8,36
3724,01;8,32
3722,08;8,27
3720,15;8,22
3718,22;8,17
3716,29;8,12
3714,36;8,06
3712,43;8,00
3710,50;7,94
3708,57;7,87
3706,64;7,81
3704,71;7,73
