Created as New Dataset;Amostra 408 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;9,53
3998,07;9,54
3996,14;9,56
3994,21;9,58
3992,28;9,59
3990,35;9,61
3988,42;9,63
3986,49;9,66
3984,56;9,68
3982,63;9,70
3980,70;9,72
3978,77;9,74
3976,84;9,76
3974,91;9,77
3972,98;9,78
3971,05;9,79
3969,12;9,80
3967,19;9,81
3965,26;9,82
3963,33;9,83
3961,40;9,83
3959,47;9,83
3957,54;9,84
3955,61;9,84
3953,68;9,85
3951,75;9,85
3949,82;9,85
3947,89;9,85
3945,96;9,85
3944,03;9,85
3942,10;9,85
3940,17;9,85
3938,24;9,85
3936,31;9,85
3934,38;9,85
3932,45;9,84
3930,52;9,84
3928,59;9,84
3926,66;9,83
3924,73;9,83
3922,80;9,83
3920,87;9,82
3918,94;9,82
3917,01;9,82
3915,08;9,82
3913,15;9,82
3911,22;9,82
3909,29;9,81
3907,36;9,80
3905,43;9,79
3903,50;9,77
3901,57;9,76
3899,64;9,76
3897,71;9,77
3895,78;9,77
3893,85;9,77
3891,92;9,77
3889,99;9,77
3888,06;9,75
3886,13;9,75
3884,20;9,74
3882,27;9,73
3880,34;9,73
3878,41;9,73
3876,48;9,73
3874,55;9,72
3872,62;9,71
3870,69;9,70
3868,76;9,69
3866,83;9,68
3864,90;9,68
3862,97;9,68
3861,04;9,68
3859,11;9,67
3857,18;9,65
3855,25;9,63
3853,32;9,61
3851,39;9,60
3849,46;9,60
3847,53;9,61
3845,60;9,61
3843,67;9,60
3841,74;9,57
3839,81;9,55
3837,88;9,53
3835,95;9,52
3834,02;9,51
3832,09;9,51
3830,16;9,51
3828,23;9,50
3826,30;9,48
3824,37;9,46
3822,44;9,43
3820,51;9,42
3818,58;9,40
3816,65;9,39
3814,72;9,39
3812,79;9,39
3810,86;9,38
3808,93;9,37
3807,00;9,35
3805,07;9,33
3803,14;9,30
3801,21;9,29
3799,28;9,28
3797,35;9,27
3795,42;9,26
3793,49;9,25
3791,56;9,23
3789,63;9,22
3787,70;9,20
3785,77;9,17
3783,84;9,15
3781,91;9,12
3779,98;9,10
3778,05;9,08
3776,12;9,07
3774,19;9,05
3772,26;9,02
3770,33;8,99
3768,40;8,96
3766,47;8,93
3764,54;8,90
3762,61;8,88
3760,68;8,84
3758,75;8,81
3756,82;8,77
3754,89;8,73
3752,96;8,69
3751,03;8,64
3749,10;8,60
3747,17;8,55
3745,24;8,51
3743,31;8,47
3741,38;8,43
3739,45;8,39
3737,52;8,35
3735,59;8,29
3733,66;8,24
3731,73;8,20
3729,80;8,15
3727,87;8,10
3725,94;8,05
3724,01;7,99
3722,08;7,93
3720,15;7,86
3718,22;7,80
3716,29;7,73
3714,36;7,64
3712,43;7,55
3710,50;7,45
3708,57;7,35
3706,64;7,25
3704,71;7,16
3702,78;7,05
3700,85;6,93
3698,92;6,81
3696,99;6,68
3695,06;6,54
3693,13;6,40
3691,20;6,25
3689,27;6,08
3687,34;5,92
3685,41;5,78
3683,48;5,63
3681,55;5,47
3679,62;5,31
3677,69;5,14
3675,76;4,95
3673,83;4,76
3671,90;4,58
3669,97;4,41
3668,04;4,23
3666,11;4,07
3664,18;3,91
3662,25;3,75
3660,32;3,59
3658,39;3,44
3656,46;3,28
3654,53;3,14
3652,60;3,00
3650,67;2,87
