Created as New Dataset;Amostra 397 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;4,46
3998,07;4,47
3996,14;4,47
3994,21;4,48
3992,28;4,49
3990,35;4,51
3988,42;4,52
3986,49;4,53
3984,56;4,55
3982,63;4,56
3980,70;4,58
3978,77;4,59
3976,84;4,60
3974,91;4,61
3972,98;4,62
3971,05;4,63
3969,12;4,63
3967,19;4,64
3965,26;4,65
3963,33;4,65
3961,40;4,66
3959,47;4,66
3957,54;4,67
3955,61;4,67
3953,68;4,68
3951,75;4,68
3949,82;4,69
3947,89;4,69
3945,96;4,70
3944,03;4,70
3942,10;4,70
3940,17;4,70
3938,24;4,71
3936,31;4,71
3934,38;4,71
3932,45;4,71
3930,52;4,72
3928,59;4,72
3926,66;4,72
3924,73;4,73
3922,80;4,73
3920,87;4,73
3918,94;4,73
3917,01;4,73
3915,08;4,74
3913,15;4,74
3911,22;4,74
3909,29;4,74
3907,36;4,74
3905,43;4,74
3903,50;4,75
3901,57;4,75
3899,64;4,76
3897,71;4,76
3895,78;4,76
3893,85;4,76
3891,92;4,76
3889,99;4,76
3888,06;4,76
3886,13;4,77
3884,20;4,77
3882,27;4,77
3880,34;4,77
3878,41;4,77
3876,48;4,77
3874,55;4,77
3872,62;4,78
3870,69;4,78
3868,76;4,78
3866,83;4,78
3864,90;4,78
3862,97;4,78
3861,04;4,78
3859,11;4,78
3857,18;4,78
3855,25;4,77
3853,32;4,78
3851,39;4,78
3849,46;4,78
3847,53;4,77
3845,60;4,77
3843,67;4,76
3841,74;4,76
3839,81;4,76
3837,88;4,76
3835,95;4,75
3834,02;4,75
3832,09;4,75
3830,16;4,74
3828,23;4,74
3826,30;4,73
3824,37;4,73
3822,44;4,72
3820,51;4,72
3818,58;4,72
3816,65;4,71
3814,72;4,71
3812,79;4,70
3810,86;4,70
3808,93;4,69
3807,00;4,69
3805,07;4,69
3803,14;4,68
3801,21;4,68
3799,28;4,67
3797,35;4,67
3795,42;4,66
3793,49;4,65
3791,56;4,64
3789,63;4,63
3787,70;4,62
3785,77;4,61
3783,84;4,60
3781,91;4,59
3779,98;4,59
3778,05;4,58
3776,12;4,57
3774,19;4,56
3772,26;4,55
3770,33;4,54
3768,40;4,53
3766,47;4,51
3764,54;4,50
3762,61;4,49
3760,68;4,47
3758,75;4,46
3756,82;4,44
3754,89;4,43
3752,96;4,41
3751,03;4,40
3749,10;4,38
3747,17;4,36
3745,24;4,34
3743,31;4,32
3741,38;4,29
3739,45;4,27
3737,52;4,24
3735,59;4,21
3733,66;4,19
3731,73;4,16
3729,80;4,13
3727,87;4,09
3725,94;4,06
3724,01;4,02
3722,08;3,98
3720,15;3,94
3718,22;3,90
3716,29;3,86
3714,36;3,81
3712,43;3,76
3710,50;3,70
3708,57;3,64
3706,64;3,58
3704,71;3,51
3702,78;3,44
3700,85;3,37
3698,92;3,29
3696,99;3,21
3695,06;3,13
3693,13;3,04
3691,20;2,95
3689,27;2,85
3687,34;2,75
3685,41;2,65
3683,48;2,56
3681,55;2,46
3679,62;2,36
3677,69;2,26
3675,76;2,15
3673,83;2,04
3671,90;1,94
3669,97;1,83
3668,04;1,72
3666,11;1,62
3664,18;1,53
3662,25;1,44
3660,32;1,35
3658,39;1,28
3656,46;1,20
3654,53;1,12
3652,60;1,06
3650,67;0,99
3648,74;0,92
3646,81;0,86
3644,88;0,81
3642,95;0,76
3641,02;0,71
3639,09;0,67
3637,16;0,63
3635,23;0,59
3633,30;0,56
3631,37;0,54
3629,44;0,51
3627,51;0,47
3625,58;0,44
3623,65;0,42
3621,72;0,40
3619,79;0,38
3617,86;0,36
3615,93;0,34
3614,00;0,32
3612,07;0,30
3610,14;0,29
3608,21;0,27
3606,28;0,25
3604,35;0,24
3602,42;0,23
3600,49;0,22
3598,56;0,20
3596,63;0,20
3594,70;0,19
3592,77;0,18
3590,84;0,17
3588,91;0,16
3586,98;0,15
3585,05;0,14
3583,12;0,13
3581,19;0,13
3579,26;0,12
3577,33;0,12
3575,40;0,11
3573,47;0,10
3571,54;0,10
3569,61;0,10
3567,68;0,09
3565,75;0,09
3563,82;0,08
3561,89;0,08
3559,96;0,07
3558,03;0,07
3556,10;0,07
3554,17;0,07
3552,24;0,06
3550,31;0,06
3548,38;0,06
3546,45;0,05
3544,52;0,05
3542,59;0,05
3540,66;0,05
3538,73;0,05
3536,80;0,04
3534,87;0,05
3532,94;0,05
3531,01;0,05
3529,08;0,04
3527,15;0,04
3525,22;0,04
3523,29;0,04
3521,36;0,04
3519,43;0,04
3517,50;0,04
3515,57;0,03
3513,64;0,03
3511,71;0,03
3509,78;0,03
3507,85;0,03
3505,92;0,03
3503,99;0,02
3502,06;0,02
3500,13;0,02
3498,20;0,02
3496,27;0,02
3494,34;0,02
3492,41;0,02
3490,48;0,02
3488,55;0,02
3486,62;0,02
3484,69;0,02
3482,76;0,02
3480,83;0,02
3478,90;0,02
3476,97;0,02
3475,04;0,02
3473,11;0,02
3471,18;0,01
3469,25;0,01
3467,32;0,01
3465,39;0,02
3463,46;0,02
3461,53;0,02
3459,60;0,02
3457,67;0,02
3455,74;0,02
3453,81;0,02
3451,88;0,02
3449,95;0,02
3448,02;0,02
3446,09;0,02
3444,16;0,02
3442,23;0,02
3440,30;0,02
3438,37;0,01
3436,44;0,01
3434,51;0,01
3432,58;0,01
3430,65;0,01
3428,72;0,01
3426,79;0,01
3424,86;0,01
3422,93;0,01
3421,00;0,01
3419,07;0,01
3417,14;0,01
3415,21;0,01
3413,28;0,01
3411,35;0,01
3409,42;0,01
3407,49;0,01
3405,56;0,01
3403,63;0,01
3401,70;0,01
3399,77;0,01
3397,84;0,01
3395,91;0,01
3393,98;0,01
3392,05;0,01
3390,12;0,01
3388,19;0,01
3386,26;0,01
3384,33;0,01
3382,40;0,01
3380,47;0,01
3378,54;0,01
3376,61;0,01
3374,68;0,01
3372,75;0,01
3370,82;0,01
3368,89;0,00
3366,96;0,00
3365,03;0,01
3363,10;0,01
3361,17;0,01
3359,24;0,01
3357,31;0,01
3355,38;0,01
3353,45;0,01
3351,52;0,01
3349,59;0,01
3347,66;0,01
3345,73;0,01
3343,80;0,01
3341,87;0,01
3339,94;0,01
3338,01;0,01
3336,08;0,01
3334,15;0,01
3332,22;0,01
3330,29;0,01
3328,36;0,01
3326,43;0,01
3324,50;0,01
3322,57;0,01
3320,64;0,01
3318,71;0,01
3316,78;0,01
3314,85;0,01
3312,92;0,01
3310,99;0,01
3309,06;0,01
3307,13;0,01
3305,20;0,01
3303,27;0,01
3301,34;0,01
3299,41;0,01
3297,48;0,01
3295,55;0,01
3293,62;0,01
3291,69;0,01
3289,76;0,01
3287,83;0,01
3285,90;0,01
3283,97;0,01
3282,04;0,01
3280,11;0,01
3278,18;0,01
3276,25;0,01
3274,32;0,01
3272,39;0,01
3270,46;0,01
3268,53;0,01
3266,60;0,02
3264,67;0,02
3262,74;0,02
3260,81;0,02
3258,88;0,02
3256,95;0,02
3255,02;0,02
3253,09;0,02
3251,16;0,02
3249,23;0,02
3247,30;0,02
3245,37;0,02
3243,44;0,02
3241,51;0,02
3239,58;0,02
3237,65;0,03
3235,72;0,03
3233,79;0,03
3231,86;0,03
3229,93;0,03
3228,00;0,03
3226,07;0,04
3224,14;0,04
3222,21;0,04
3220,28;0,04
3218,35;0,04
3216,42;0,04
3214,49;0,05
3212,56;0,05
3210,63;0,05
3208,70;0,06
3206,77;0,06
3204,84;0,06
3202,91;0,06
3200,98;0,07
3199,05;0,07
3197,12;0,08
3195,19;0,08
3193,26;0,09
3191,33;0,09
3189,40;0,10
3187,47;0,10
3185,54;0,11
3183,61;0,11
3181,68;0,12
3179,75;0,13
3177,82;0,14
3175,89;0,14
3173,96;0,15
3172,03;0,16
3170,10;0,17
3168,17;0,18
3166,24;0,19
3164,31;0,20
3162,38;0,22
3160,45;0,23
3158,52;0,24
3156,59;0,26
3154,66;0,27
3152,73;0,28
3150,80;0,30
3148,87;0,32
3146,94;0,33
3145,01;0,35
3143,08;0,37
3141,15;0,39
3139,22;0,41
3137,29;0,43
3135,36;0,46
3133,43;0,48
3131,50;0,50
3129,57;0,53
3127,64;0,55
3125,71;0,58
3123,78;0,61
3121,85;0,63
3119,92;0,66
3117,99;0,69
3116,06;0,72
3114,13;0,75
3112,20;0,78
3110,27;0,81
3108,34;0,84
3106,41;0,88
3104,48;0,91
3102,55;0,95
3100,62;0,98
3098,69;1,01
3096,76;1,05
3094,83;1,08
3092,90;1,11
3090,97;1,15
3089,04;1,18
3087,11;1,21
3085,18;1,24
3083,25;1,27
3081,32;1,31
3079,39;1,34
3077,46;1,37
3075,53;1,40
3073,60;1,43
3071,67;1,45
3069,74;1,48
3067,81;1,50
3065,88;1,53
3063,95;1,55
3062,02;1,58
3060,09;1,60
3058,16;1,63
3056,23;1,65
3054,30;1,67
3052,37;1,69
3050,44;1,71
3048,51;1,73
3046,58;1,74
3044,65;1,75
3042,72;1,76
3040,79;1,77
3038,86;1,77
3036,93;1,76
3035,00;1,75
3033,07;1,74
3031,14;1,72
3029,21;1,69
3027,28;1,66
3025,35;1,63
3023,42;1,59
3021,49;1,55
3019,56;1,50
3017,63;1,44
3015,70;1,38
3013,77;1,30
3011,84;1,22
3009,91;1,14
3007,98;1,04
3006,05;0,94
3004,12;0,84
3002,19;0,73
3000,26;0,62
2998,33;0,52
2996,40;0,43
2994,47;0,34
2992,54;0,27
2990,61;0,20
2988,68;0,15
2986,75;0,11
2984,82;0,07
2982,89;0,05
2980,96;0,03
2979,03;0,01
2977,10;0,01
2975,17;0,01
2973,24;0,00
2971,31;0,01
2969,38;0,01
2967,45;0,00
2965,52;0,00
2963,59;0,00
2961,66;0,00
2959,73;0,00
2957,80;0,00
2955,87;0,00
2953,94;0,00
2952,01;0,00
2950,08;0,00
2948,15;0,00
2946,22;0,00
2944,29;0,00
2942,36;0,00
2940,43;0,00
2938,50;0,00
2936,57;0,00
2934,64;0,00
2932,71;0,00
2930,78;0,00
2928,85;0,00
2926,92;0,00
2924,99;0,00
2923,06;0,00
2921,13;0,00
2919,20;0,00
2917,27;0,00
2915,34;0,00
2913,41;0,00
2911,48;0,00
2909,55;0,00
2907,62;0,00
2905,69;0,00
2903,76;0,00
2901,83;0,00
2899,90;0,00
2897,97;0,00
2896,04;0,00
2894,11;0,00
2892,18;0,00
2890,25;0,00
2888,32;0,00
2886,39;0,00
2884,46;0,00
2882,53;0,00
2880,60;0,00
2878,67;0,00
2876,74;0,00
2874,81;0,00
2872,88;0,00
2870,95;0,00
2869,02;0,00
2867,09;0,00
2865,16;0,00
2863,23;0,00
2861,30;0,00
2859,37;0,00
2857,44;0,00
2855,51;0,00
2853,58;0,00
2851,65;0,01
2849,72;0,01
2847,79;0,01
2845,86;0,01
2843,93;0,01
2842,00;0,00
2840,07;0,00
2838,14;0,01
2836,21;0,02
2834,28;0,04
2832,35;0,08
2830,42;0,14
2828,49;0,22
2826,56;0,33
2824,63;0,44
2822,70;0,57
2820,77;0,72
2818,84;0,87
2816,91;1,03
2814,98;1,20
2813,05;1,39
2811,12;1,58
2809,19;1,77
2807,26;1,98
2805,33;2,20
2803,40;2,41
2801,47;2,63
2799,54;2,85
2797,61;3,07
2795,68;3,29
2793,75;3,51
2791,82;3,73
2789,89;3,96
2787,96;4,19
2786,03;4,43
2784,10;4,66
2782,17;4,90
2780,24;5,14
2778,31;5,36
2776,38;5,58
2774,45;5,78
2772,52;5,96
2770,59;6,13
2768,66;6,28
2766,73;6,42
2764,80;6,53
2762,87;6,62
2760,94;6,70
2759,01;6,77
2757,08;6,84
2755,15;6,89
2753,22;6,94
2751,29;6,98
2749,36;6,99
2747,43;6,99
2745,50;6,98
2743,57;6,94
2741,64;6,88
2739,71;6,80
2737,78;6,69
2735,85;6,56
2733,92;6,42
2731,99;6,28
2730,06;6,20
2728,13;6,19
2726,20;6,23
2724,27;6,31
2722,34;6,40
2720,41;6,51
2718,48;6,63
2716,55;6,78
2714,62;6,95
2712,69;7,12
2710,76;7,29
2708,83;7,43
2706,90;7,55
2704,97;7,64
2703,04;7,71
2701,11;7,75
2699,18;7,77
2697,25;7,78
2695,32;7,76
2693,39;7,74
2691,46;7,71
2689,53;7,67
2687,60;7,65
2685,67;7,64
2683,74;7,64
2681,81;7,64
2679,88;7,66
2677,95;7,67
2676,02;7,68
2674,09;7,70
2672,16;7,72
2670,23;7,76
2668,30;7,81
2666,37;7,89
2664,44;7,99
2662,51;8,09
2660,58;8,20
2658,65;8,31
2656,72;8,42
2654,79;8,51
2652,86;8,61
2650,93;8,69
2649,00;8,77
2647,07;8,84
2645,14;8,91
2643,21;8,98
2641,28;9,04
2639,35;9,10
2637,42;9,16
2635,49;9,22
2633,56;9,27
2631,63;9,32
2629,70;9,38
2627,77;9,42
2625,84;9,47
2623,91;9,52
2621,98;9,57
2620,05;9,62
2618,12;9,67
2616,19;9,72
2614,26;9,78
2612,33;9,83
2610,40;9,89
2608,47;9,95
2606,54;10,02
2604,61;10,09
2602,68;10,16
2600,75;10,24
2598,82;10,32
2596,89;10,41
2594,96;10,50
2593,03;10,59
2591,10;10,69
2589,17;10,80
2587,24;10,90
2585,31;11,01
2583,38;11,12
2581,45;11,24
