Created as New Dataset;Amostra 401 por Laboratório data terça-feira, setembro 24 2024
cm-1;%T
4000,00;0,95
3998,07;0,95
3996,14;0,95
3994,21;0,95
3992,28;0,95
3990,35;0,95
3988,42;0,95
3986,49;0,95
3984,56;0,96
3982,63;0,96
3980,70;0,96
3978,77;0,96
3976,84;0,96
3974,91;0,96
3972,98;0,96
3971,05;0,96
3969,12;0,96
3967,19;0,96
3965,26;0,96
3963,33;0,96
3961,40;0,96
3959,47;0,96
3957,54;0,96
3955,61;0,96
3953,68;0,96
3951,75;0,95
3949,82;0,95
3947,89;0,95
3945,96;0,95
3944,03;0,95
3942,10;0,95
3940,17;0,95
3938,24;0,95
3936,31;0,94
3934,38;0,94
3932,45;0,94
3930,52;0,94
3928,59;0,94
3926,66;0,93
3924,73;0,93
3922,80;0,93
3920,87;0,93
3918,94;0,93
3917,01;0,93
3915,08;0,92
3913,15;0,92
3911,22;0,92
3909,29;0,92
3907,36;0,92
3905,43;0,91
3903,50;0,91
3901,57;0,91
3899,64;0,90
3897,71;0,90
3895,78;0,90
3893,85;0,90
3891,92;0,90
3889,99;0,90
3888,06;0,89
3886,13;0,89
3884,20;0,89
3882,27;0,89
3880,34;0,89
3878,41;0,88
3876,48;0,88
3874,55;0,88
3872,62;0,88
3870,69;0,87
3868,76;0,87
3866,83;0,87
3864,90;0,86
3862,97;0,86
3861,04;0,86
3859,11;0,86
3857,18;0,85
3855,25;0,85
3853,32;0,84
3851,39;0,84
3849,46;0,84
3847,53;0,83
3845,60;0,83
3843,67;0,83
3841,74;0,83
3839,81;0,82
3837,88;0,82
3835,95;0,81
3834,02;0,81
3832,09;0,81
3830,16;0,80
3828,23;0,80
3826,30;0,80
3824,37;0,79
3822,44;0,79
3820,51;0,78
3818,58;0,78
3816,65;0,77
3814,72;0,77
3812,79;0,77
3810,86;0,76
3808,93;0,76
3807,00;0,75
3805,07;0,75
3803,14;0,74
3801,21;0,74
3799,28;0,73
3797,35;0,73
3795,42;0,72
3793,49;0,72
3791,56;0,71
3789,63;0,71
3787,70;0,70
3785,77;0,70
3783,84;0,69
3781,91;0,69
3779,98;0,68
3778,05;0,67
3776,12;0,67
3774,19;0,66
3772,26;0,66
3770,33;0,65
3768,40;0,64
3766,47;0,64
3764,54;0,63
3762,61;0,62
3760,68;0,62
3758,75;0,61
3756,82;0,60
3754,89;0,60
3752,96;0,59
3751,03;0,58
3749,10;0,57
3747,17;0,56
3745,24;0,55
3743,31;0,54
3741,38;0,53
3739,45;0,52
3737,52;0,52
3735,59;0,51
3733,66;0,50
3731,73;0,49
3729,80;0,48
3727,87;0,47
3725,94;0,46
3724,01;0,45
3722,08;0,44
